id,district_id,neighborhood_id,name,latitude,longitude,geometry,neighborhood,district,is_indoor,is_outdoor,address,street,house_number,postal_code,pricing,accessibility,opening_hours,phone,email,website,data_source
53271712,11006006,0605,Kletterhalle Hüttenweg DAV und FU/TU,52.454101815324854,13.26777835346268,POINT (13.267778 52.454102),Dahlem,Steglitz-Zehlendorf,True,False,"Blau-Weiss Berlin - Club für Amateurtanzsport e. V., Hüttenweg, Fünf Morgen, Dahlem, Steglitz-Zehlendorf, Berlin, Teltow, 14195, Deutschland",Hüttenweg,43,14195,,,,,,,OSM
92202952,11007007,0704,unknown_bouldering,52.44007297154253,13.379560386264856,POINT (13.37956 52.440073),Mariendorf,Tempelhof-Schöneberg,True,False,"Südbloc Boulderhalle, 2-10, Großbeerenstraße, Alt-Mariendorf, Mariendorf, Tempelhof-Schöneberg, Berlin, Teltow, 12107, Deutschland",Großbeerenstraße,2-10,12107,,Wheelchair accessible,,,,,OSM
228816299,11012012,1210,unknown_bouldering,52.59934999880101,13.35059894722647,POINT (13.350599 52.59935),Märkisches Viertel,Reinickendorf,False,True,"Welzower Steig, Märkisches Viertel, Reinickendorf, Berlin, 13435, Deutschland",,,,,,,,,,OSM
229807616,11004004,0404,unknown_bouldering,52.49968207526606,13.245016107002488,POINT (13.245016 52.499682),Grunewald,Charlottenburg-Wilmersdorf,False,True,"Kletterturm Teufelsberg, Die 1, Grunewald, Charlottenburg-Wilmersdorf, Berlin, 14193, Deutschland",,,,,,,,,,OSM
275569371,11005005,0508,Kletterturm Spandau,52.54431037047849,13.167443680261258,POINT (13.167444 52.54431),Falkenhagener Feld,Spandau,False,True,"Kletterturm Spandau, Das Labyrinth im Spektepark, Westfalenviertel, Falkenhagener Feld, Spandau, Berlin, 13583, Deutschland",,,,,,,,,,OSM
279479191,11001001,0102,unknown_bouldering,52.528750466670104,13.362767800015774,POINT (13.362768 52.52875),Moabit,Mitte,False,True,"DAV Kletterzentrum Berlin, 1H, Seydlitzstraße, Europacity, Moabit, Mitte, Berlin, 10557, Deutschland",,,,,,,,,,OSM
288222187,11001001,0106,Magic Mountain,52.54857311722241,13.382551594964895,POINT (13.382552 52.548573),Gesundbrunnen,Mitte,False,True,"24, Böttgerstraße, Gartenstadt Atlantic, Gesundbrunnen, Mitte, Berlin, 13357, Deutschland",,,,,,,,,,OSM
288222188,11001001,0106,unknown_bouldering,52.54860028659421,13.382480762992166,POINT (13.382481 52.5486),Gesundbrunnen,Mitte,False,True,"24, Böttgerstraße, Gartenstadt Atlantic, Gesundbrunnen, Mitte, Berlin, 13357, Deutschland",,,,,,,,,,OSM
288222189,11001001,0106,unknown_bouldering,52.54861111659222,13.38241345698723,POINT (13.382413 52.548611),Gesundbrunnen,Mitte,False,True,"22, Böttgerstraße, Gartenstadt Atlantic, Gesundbrunnen, Mitte, Berlin, 13357, Deutschland",,,,,,,,,,OSM
317216617,11002002,0201,Der Kegel,52.50721970541192,13.454411970525749,POINT (13.454412 52.50722),Friedrichshain,Friedrichshain-Kreuzberg,True,True,"Revaler Straße, Boxhagener Kiez, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10245, Deutschland",Revaler Straße,99,10245,Entry Fee,,"Mo-Fr 09:00-23:00; Sa,Su,PH 10:20-23:00",,,https://derkegel.de/,OSM
317307689,11010010,1001,unknown_bouldering,52.56390933655313,13.581607119907163,POINT (13.581607 52.563909),Marzahn,Marzahn-Hellersdorf,False,True,"Kletterfelsen Wuhletalwächter, Kemberger Straße, Schorfheideviertel, Marzahn, Marzahn-Hellersdorf, Berlin, 12689, Deutschland",,,,,,,,,,OSM
338316877,11007007,0701,Urban Apes Bright Site,52.481855554153576,13.365892033651145,POINT (13.365892 52.481856),Schöneberg,Tempelhof-Schöneberg,True,True,"Urban Apes Bright Site, 40, Wilhelm-Kabus-Straße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland",Wilhelm-Kabus-Straße,40,10829,Entry Fee,,Mo-Su 09:00-23:00,+49 30 49080707,brightsite@urbanapes.de,https://www.urbanapes.de/brightsite/,OSM
361377599,11011011,1103,Kletterei,52.507838300009176,13.47800939999748,POINT (13.478009 52.507838),Lichtenberg,Lichtenberg,False,False,"Wiesenweg, Frankfurter Allee Süd, Lichtenberg, Berlin, 10365, Deutschland",,,,,,,,,,OSM
531542904,11007007,0704,Südbloc Boulderhalle,52.44015323404014,13.379589611834884,POINT (13.37959 52.440153),Mariendorf,Tempelhof-Schöneberg,True,True,"Südbloc Boulderhalle, 2-10, Großbeerenstraße, Alt-Mariendorf, Mariendorf, Tempelhof-Schöneberg, Berlin, Teltow, 12107, Deutschland",Großbeerenstraße,2-10,12107,,Wheelchair accessible,"PH,Mo-Su 10:00-23:00",+49 30 74001810,,http://www.suedbloc.de,OSM
539915495,11007007,0704,unknown_bouldering,52.440327298346894,13.379717556981305,POINT (13.379718 52.440327),Mariendorf,Tempelhof-Schöneberg,False,True,"Straße Nr. 1, Ringberlin, Mariendorf, Tempelhof-Schöneberg, Berlin, Teltow, 12105, Deutschland",,,,,,,,,,OSM
542126934,11007007,0701,unknown_bouldering,52.47829262555609,13.35600815525658,POINT (13.356008 52.478293),Schöneberg,Tempelhof-Schöneberg,False,False,"Ella-Barowsky-Straße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland",,,,,,,,,,OSM
680456099,11003003,0307,Berta Block,52.56389831292875,13.410472908935303,POINT (13.410473 52.563898),Pankow,Pankow,True,False,"Berta Block, 62, Mühlenstraße, Tiroler Viertel, Pankow, Berlin, 13187, Deutschland",Mühlenstraße,62,13187,Entry Fee,,Mo-Fr 09:00-23:00; Sa-Su 10:00-22:00,+49 30 91424730,info@bertablock.de,http://bertablock.de,OSM
721218590,11007007,0706,unknown_bouldering,52.39117793366544,13.40422791021833,POINT (13.404228 52.391178),Lichtenrade,Tempelhof-Schöneberg,False,False,"Finchleystraße, John-Locke-Siedlung, Lichtenrade, Tempelhof-Schöneberg, Berlin, Teltow, 12305, Deutschland",,,,,Wheelchair accessible,,,,,OSM
755582429,11008008,0801,Bouldergarten Außenanlage,52.47923699785446,13.450996336493812,POINT (13.450996 52.479237),Neukölln,Neukölln,False,True,"Bouldergarten Außenanlage, Thiemannstraße - Tor 4, Harzer Kiez, Neukölln, Berlin, 12059, Deutschland",,,,Entry Fee,,,,,,OSM
822955322,11011011,1101,unknown_bouldering,52.50281446047168,13.50530389915771,POINT (13.505304 52.502814),Friedrichsfelde,Lichtenberg,False,False,"Rummelsburger Straße, Sewanviertel, Friedrichsfelde, Lichtenberg, Berlin, 10315, Deutschland",,,,,,,,,,OSM
822955323,11011011,1101,unknown_bouldering,52.50280595788781,13.505348490799884,POINT (13.505348 52.502806),Friedrichsfelde,Lichtenberg,False,False,"Rummelsburger Straße, Sewanviertel, Friedrichsfelde, Lichtenberg, Berlin, 10315, Deutschland",,,,,,,,,,OSM
822955324,11011011,1101,unknown_bouldering,52.502809528614875,13.505389969478502,POINT (13.50539 52.50281),Friedrichsfelde,Lichtenberg,False,False,"Rummelsburger Straße, Sewanviertel, Friedrichsfelde, Lichtenberg, Berlin, 10315, Deutschland",,,,,,,,,,OSM
822955325,11011011,1101,unknown_bouldering,52.50281460957094,13.505424955011362,POINT (13.505425 52.502815),Friedrichsfelde,Lichtenberg,False,False,"Rummelsburger Straße, Sewanviertel, Friedrichsfelde, Lichtenberg, Berlin, 10315, Deutschland",,,,,,,,,,OSM
876638470,11003003,0301,Boulderfelsen Spielplatz Jablonskistraße,52.535599475256326,13.429222936163034,POINT (13.429223 52.535599),Prenzlauer Berg,Pankow,False,False,"Jablonskistraße, Winsviertel, Prenzlauer Berg, Pankow, Berlin, 10405, Deutschland",,,,,,,,,,OSM
998135237,11001001,0102,unknown_bouldering,52.5244875560935,13.318903397880757,POINT (13.318903 52.524488),Moabit,Mitte,False,False,"Wiebestraße, Huttenkiez, Moabit, Mitte, Berlin, 10553, Deutschland",,,,,,,,,,OSM
1022247980,11001001,0102,DAV Kletterzentrum Berlin,52.52858727662637,13.362433843320563,POINT (13.362434 52.528587),Moabit,Mitte,True,True,"Döberitzer Verbindung, Europacity, Moabit, Mitte, Berlin, 10557, Deutschland",Seydlitzstraße,1H,10557,Entry Fee,Wheelchair accessible,"Mo, We, Fr 10:00-23:00; Tu, Th 09:00-23:00; Sa-Su 10:00-21:30",+49 30 330998636,,https://dav-berlin.de/klettern/kletterzentrum/,OSM
