religious_id,name,religion,denomination,building_type,street,housenumber,postcode,suburb,city,operator,website,contact_phone,contact_email,wheelchair_accessible,service_times,opening_hours,heritage,historic,latitude,longitude,source
1256840401,ChristusKirche Berlin-Mitte,christian,pentecostal,,Anklamer Straße,31,10115,Mitte,Berlin,,,+49 30 91206070,buero@christuskirche-berlin.de,,Su 10:00+,,,,52.5363614,13.3995255,
1274338417,Ev. Kirchengem. Hermsdorf,christian,,,Wachsmuthstraße,24,13467,Hermsdorf,Berlin,,https://www.ekibh.de/,,,yes,,,,,52.6175317,13.3110728,
1309021897,Buddhistisches Zentrum Bodhicharya Deutschland e.V.,buddhist,,,Kinzigstraße,25,10247,Friedrichshain,Berlin,,,,,yes,,,,,52.5122972,13.4654696,http://bodhicharya.de/
1313117575,Stadtmission Gemeinde im Zentrum am Hauptbahnhof,christian,protestant,,Lehrter Straße,68,10557,Moabit,Berlin,Berliner Stadtmission,https://www.berliner-stadtmission.de/gem-zah,+4930690333,,yes,,,,,52.5263666,13.3634646,
1370499165,Kirche des Nazareners,christian,methodist,,,,,,,,,,,,,,,,52.4552861,13.3160909,
1392943281,Evangelische Gemeinschaft Friedenau,christian,protestant,,Friedrich-Wilhelm-Platz,7,12161,Friedenau,Berlin,,https://www.gemeinschaft-friedenau.de/wp/,,,no,,,,,52.4716845,13.3275731,
1404465171,Königreichssaal Jehovas Zeugen,christian,jehovahs_witness,,Weißenburger Straße,35,13595,,Berlin,,https://www.jw.org/de/,,,yes,"We, Th 19:00-20:45, Su 11:00-12:45, 14:30-16:15",,,,52.5235611,13.2012548,
1404484782,Königreichssaal Jehovas Zeugen,christian,jehovahs_witness,,Seeburger Straße,32E,13581,Wilhelmstadt,Berlin,,https://www.jw.org/de/,,,yes,"Tu-Th 19:00-20:45, Sa 10:00-11:45, Su 10:00-11:45",,,,52.5276681,13.1824095,
1505231652,Schloßkirche,christian,protestant,,,,,,,,,,,limited,,,,,52.4436435,13.5739658,
1556403863,Baptisten-Gemeinde,christian,baptist,,,,13086,,,,http://www.efg-weissensee.org,,,no,Su 10:00,,,,52.5526918,13.440396,
1602071051,Franziskanerkloster,christian,roman_catholic,,Wollankstraße,,13187,Pankow,Berlin,,,,,yes,,,,,52.5659379,13.3945595,
1813041607,St. Franziskus - Kapelle,christian,,,,,,,,,,,,,,,,,52.5059403,13.3457893,
1891429795,Stadtmission Gemeinde Tegel,christian,protestant,,Billerbecker Weg,112-114,13507,,Berlin,Berliner Stadtmission,https://www.berliner-stadtmission.de/gem-tegel,,,,,,,,52.5751024,13.2752084,
1903040914,Adventgemeinde Pankow,christian,seventh_day_adventist,,Eichenstraße,61,13156,Niederschönhausen,Berlin,,http://www.sta-berlin-pankow.de/STA_Pankow/Startseite.html,,,yes,,,,,52.5860016,13.3990095,
1976696605,Gazi Osman Pasa Moschee eV,muslim,,,Schöneweider Straße,11,12055,Neukölln,Berlin,,,,,limited,,,,,52.4718577,13.445666,
2145256562,Buddhistisches Tor Berlin,buddhist,,,,,10967,,,,https://buddhistisches-tor-berlin.de/,,,yes,,,,,52.4925385,13.4125654,
2281044959,Evangelische Reformierte Bethlehemsgemeinde,christian,reformed,,Richardstraße,97,12043,,Berlin,,,,,yes,,,,,52.4767583,13.4419312,
2303055234,International Christian Revival Church,christian,,,,,,,,,,,,,,,,,52.548976,13.3658262,
2412265590,International Zen Temple,buddhist,,,,,,,,,https://www.international-zen-temple.de/,,,,,,,,52.5008249,13.4216124,
2439362666,Stadtmission Gemeinde Frankfurter Allee,christian,protestant,,Frankfurter Allee,96,10247,Friedrichshain,Berlin,Berliner Stadtmission,https://www.berliner-stadtmission.de/gem-ffa,,,,,,,,52.5134409,13.4723349,
2478866162,Markaz Rasulallah e.V.,muslim,shia,,Seeburger Straße,65,13581,Wilhelmstadt,Berlin,Islamische Gemeinschaft der schiitischen Gemeinden Deutschlands e.V. (IGS),,,,,,,,,52.5265817,13.1838279,Geoportal Berlin / Hauskoordinaten;http://www.igs-deutschland.org/die-igs/moscheekarte
2501779747,Stadtmission Gemeinde Wedding,christian,protestant,,Stettiner Straße,45,13357,Gesundbrunnen,Berlin,Berliner Stadtmission,https://www.berliner-stadtmission.de/gem-wedding,,,,,,,,52.5539109,13.386745,Geoportal Berlin / Hausumringe
2529484537,Indonesisches Weisheits- & Kulturzentrum,muslim,sunni,,Feldzeugmeisterstraße,1,10557,Moabit,Berlin,,https://iwkz.de/,,,,,,,,52.5329001,13.3519377,
2625794374,Paulus-Gemeinde Berlin-Pankow e.V.,christian,protestant,,Florastraße,35,13187,Pankow,Berlin,,http://www.paulusgemeinde-pankow.de/,,,no,,,,,52.5653374,13.4068043,
2699488273,Evangelisch Apostolische Johannes Gemeinde,christian,protestant,,,,,,,,,,,,,,,,52.5958406,13.3601004,
2759261083,Hamidiye Camii,muslim,sunni,,Sonnenallee,18,12047,,Berlin,,,,,yes,,,,,52.4860503,13.4273767,
2822957669,Alevitischer Kulturverein Berlin e.V. Oniki Imam Yolu/Weg der Zwölf Imame,muslim,shia,,Richardstraße,110,12043,Neukölln,Berlin,Islamische Gemeinschaft der schiitischen Gemeinden Deutschlands e.V. (IGS),http://www.oniki-imam-yolu.com/,,,,,,,,52.4784894,13.4388682,Geoportal Berlin / Hauskoordinaten;http://www.igs-deutschland.org/die-igs/moscheekarte
2848134843,Islamisches Imam Hassan Werk e.V.,muslim,shia,,Im Lesachtal,24,12107,Mariendorf,Berlin,Islamische Gemeinschaft der schiitischen Gemeinden Deutschlands e.V. (IGS),,,,,,,,,52.4247877,13.4025532,Geoportal Berlin / Hauskoordinaten;http://www.igs-deutschland.org/die-igs/moscheekarte
2860740786,Friedhofskapelle,christian,,,Walter-Leistikow-Weg,10,12623,Mahlsdorf,Berlin,,,,,,,,,,52.5208101,13.6319911,Geoportal Berlin / Hauskoordinaten
2865873505,Martin-Luther-King-Kirche,christian,protestant,,Martin-Luther-King-Weg,8,12351,Gropiusstadt,Berlin,,https://www.kirche-gropiusstadt.de,,,,,,,,52.4283802,13.4554551,Geoportal Berlin / Hauskoordinaten;survey
2867830690,Apostelamt Jesu Christi,christian,,,Chamissostraße,4,13587,Hakenfelde,Berlin,,,,,,,,,,52.5604095,13.2090936,Geoportal Berlin / Hauskoordinaten
2876493701,Weidenkirche,christian,lutheran,,Kremnitzufer,9,14109,,Berlin,,https://www.weidenkirche-berlin.de/standort.html,,,,,,,,52.3954696,13.1592394,Dakota 20
3020434398,Ev. Kirchengemeinde Epiphanien,christian,lutheran,,Knobelsdorffstraße,72,14059,Westend,Berlin,,,,,,10:00 Uhr,,,,52.5131001,13.2847313,Geoportal Berlin / Hauskoordinaten
3039050111,Jagannatha Tempel Berlin,hindu,hare_krishna,,Berliner Allee,209,13088,Weißensee,Berlin,ISKCON Berlin,http://www.tempelberlin.de/,,,limited,,,,,52.5568446,13.4666789,Geoportal Berlin / Hauskoordinaten
3039050989,Stadtmission Gemeinde Bizetstraße,christian,protestant,,Bizetstraße,75,13088,Weißensee,Berlin,Berliner Stadtmission,https://www.berliner-stadtmission.de/gem-bizetstrasse,,,,,,,,52.5486002,13.4568597,Geoportal Berlin / Hauskoordinaten
3145126656,Valide Sultan Camii,muslim,,,,,,,,Friedenauer Kulturverein zur Integration & Bildung e. V. in Berlin,,,,no,,,,,52.4716001,13.3368317,survey
3167606461,Serbisch-orthodoxe Christi-Auferstehungs-Kirche,christian,serbian_orthodox,,Schwanheimer Straße,11,,,,,,,,,,,,,52.4616075,13.4177462,
3332061408,Interkulturelles Zentrum für Dialog und Bildung e.V.,muslim,sunni,,Drontheimer Straße,32A,13359,Gesundbrunnen,Berlin,,https://izdb-berlin.de/,+49 30 49500803,,,sunrise-sunset,sunrise-sunset,,,52.5587606,13.3746465,Geoportal Berlin / Hauskoordinaten
3401492942,Alt-Katholische Gemeinde Berlin,christian,catholic,,Hauptstraße,48,10827,Wilmersdorf,Berlin,,http://berlin.alt-katholisch.de/,,,,Mittwoch 	      18:00–20:30  	 Donnerstag 	      Geschlossen  	 Freitag 	      Geschlossen  	 Samstag 	      Geschlossen  	 Sonntag 	      10:30–12:00  	 Montag 	      Geschlossen  	 Dienstag 	      Geschlossen,,,,52.4829515,13.3494207,
3410334471,Gereja Bethel Indonesia Jemaat Bethany,christian,baptist,,Wallstraße,32,10179,Mitte,Berlin,,https://www.gbiberlin.org/,,,no,Su 11:00,,,,52.5116982,13.4110167,
3411055106,Evangelisch-Freikirchliche Gemeinde Bethel,christian,evangelisch-freikirchlich,,Schillerstraße,26,12207,,Berlin,,https://www.efg-bethel.de/,,,yes,Su 10:30,,,,52.4278755,13.3211132,
3411066489,Evangelisch-Freikirchliche Gemeinde,christian,Brüder,,,,,,,,https://www.efg-freibergstrasse.de/,,,yes,Su 10:00,,,,52.435351,13.3850013,
3411082818,Evangelisch-Freikirchliche Gemeinde,christian,baptist,,,,,,,,http://www.efg-marzahn.de,,,,Su 10:00,,,,52.5455401,13.5656101,
3411168898,Evangelisch-Freikirchliche Gemeinde,christian,baptist,,,,,,,,https://www.kirche-deulstrasse.de/,,,,Su 10:00,,,,52.4670315,13.5105961,
3411207173,Friedenskirche,christian,methodist,,,,,,,,https://friedenskirche.net/,,,yes,Su 09:30,,,,52.4667373,13.5098933,
3411265895,Evangelisch-Freikirchliche Neues Leben Gemeinde,christian,Brüder,,,,,,,,https://efg-neues-leben.de/,,,no,Su 10:30,,,,52.4633355,13.52337,
3411369680,"Evangelisch-Freikirchliche Gemeinde ""Zoar""",christian,baptist,,Cantianstraße,9,10437,Prenzlauer Berg,Berlin,,http://www.efg-zoar.de/,,,yes,Su 10:00,,,,52.5445845,13.4114087,
3411476712,Evangelisch-Freikirchliche Gemeinde,christian,Brüder,,,,,,,,https://www.efg-hohenstaufenstr.de/,,,,Su 10:45,,,,52.4941039,13.3510938,
3411527446,Evangelisch-Freikirchliche Gemeinde Berlin-Spandau,christian,baptist,,,,,,,,https://www.baptisten-spandau.de/,,j.brandes@baptisten-spandau.de,limited,Su 10:00,,,,52.54734,13.2053108,
3411616993,Evangelisch-Freikirchliche Bethel-Gemeinde,christian,baptist,,,,,,,,http://www.kirche-im-haus.de,,,no,Su 10:00,,,,52.5872326,13.2874309,
3411706623,Evangelisch-Freikirchliche Gemeinde,christian,Brüder,,Buttmannstraße,10,13357,,Berlin,,https://www.bruedergemeinde-berlin.de/,,,no,Su 10:30,,,,52.551225,13.3773848,
3411726933,Evangelisch-Freikirchliche Gemeinde,christian,Brüder,,Hildegardstraße,20a,10715,Wilmersdorf,Berlin,,,,,,Su 10:30,,,,52.4810184,13.3225114,
3448408580,Greater Grace Evangelische Freikirche,christian,protestant,,,,,,,Adrian Edler;Stephan Stein,http://ggberlin.org,,,,,,,,52.4789102,13.3471464,
3667655313,Adventgemeinde Spandau,christian,adventist,,Tiefwerderweg,5,13597,Spandau,Berlin,,,,,,,,,,52.5276476,13.2071089,
3737533306,Bilal Moschee,muslim,sunni,,Drontheimer Straße,16,13359,Gesundbrunnen,Berlin,Masjid-E-Bilal DMK e.V.,,,,,,,,,52.5594755,13.3772248,
3786111363,Shaolin Tempel,buddhist,,,,,,,,,http://www.shaolin-tempel.eu/shaolin/index.php/de/shaolin-tempel,,,,,,,,52.4974645,13.3310637,
3834064759,Osman Gazi Camii,muslim,sunni,,Nehringstraße,27,14059,Charlottenburg,Berlin,,,,,,,,,,52.5160494,13.2942714,Geoportal Berlin / Hauskoordinaten
3838822221,Kreuzbergprojekt,christian,evangelical,,Lenaustraße,4,12047,,Berlin,,,,,,,,,,52.4899073,13.4251285,
4009581509,Al-Iman-Moschee,muslim,,,Badstraße,21,13357,Gesundbrunnen,Berlin,,,,,yes,,,,,52.551925,13.3828026,
4033002786,Stadtmission Gemeinde Friedrichsfelde Ost,christian,protestant,,Seddiner Straße,1,10315,Friedrichsfelde,Berlin,Berliner Stadtmission,https://www.berliner-stadtmission.de/gem-friedrich-ost,,,,,,,,52.5129872,13.5231746,
4033039485,Stadtmission Gemeinde Pankow,christian,protestant,,Berliner Straße,44,13189,,Berlin,Berliner Stadtmission,https://www.berliner-stadtmission.de/gem-pankow,,,yes,,,,,52.5606059,13.4123837,
4033046356,Stadtmission Gemeinde Wilmersdorf,christian,protestant,,Joachim-Friedrich-Straße,46,10711,,Berlin,Berliner Stadtmission,https://www.berliner-stadtmission.de/gem-wilmersdorf,,,,,,,,52.4971471,13.2957393,
4033054438,Junge Kirche Berlin - Lichtenberg,christian,protestant,,Herzbergstraße,84,10365,,Berlin,Berliner Stadtmission,https://www.junge-kirche-berlin.de/,,,,,,,,52.5265782,13.5029394,
4040784008,Islamisches Kulturzentrum der Bosniaken in Berlin,muslim,,,,,,,,,,,,,,,,,52.5008178,13.4183984,
4061948098,Haci Bayram Moschee e.V.,muslim,,,Koloniestraße,129,13359,Gesundbrunnen,Berlin,,http://haci-bayram-moschee.de,,,,,,,,52.5590748,13.3786406,
4134251486,Studienkreis Allan Kardec,christian,spiritist,,,,,,,,http://www.allankardec-berlin.de/,,,,,,,,52.534466,13.3985341,
4139472262,Akşemseddin Camii,muslim,,,Bellermannstraße,90,13357,Gesundbrunnen,Berlin,,,,,,,,,,52.554119,13.3855593,
4207499766,UMC English Language International Congregation Berlin,christian,united_methodist,,Kaiser-Friedrich-Straße,87,10585,Charlottenburg,Berlin,,http://www.methodist-berlin.de,,,,Su 17:15,,,,52.5142393,13.301847,
4207985891,Evangelisch-methodistische Kirchengemeinde Berlin-Charlottenburg,christian,united_methodist,,Kaiser-Friedrich-Straße,87,10585,Charlottenburg,Berlin,,http://www.emk-berlin-charlottenburg.de,,,,Su 10:30,,,,52.5142654,13.3018953,
4252410793,Berliner Mennoniten-Gemeinde,christian,mennonite,,Promenadenstraße,15b,12207,,Berlin,,http://www.berliner-mennoniten-gemeinde.de,,,,Su 10:00,,,,52.432953,13.322537,
4278114891,Friedensheim,christian,,,,,,,,,,,,,,,,,52.4310706,13.3655904,
4317329215,Hoca Ahmet Yesevi Camii,muslim,,,,,,,,,,,,,,,,,52.5424565,13.2058287,
4331571609,Wat Sacca,buddhist,,,Nöldnerstraße,19,10317,Rummelsburg,Berlin,,,,kalyanamitta@mailbox.org,,,Sa 11:00-21:00; We 18:00-20:00,,,52.5020615,13.4799712,
4362191535,Friedhof von ehem. Insassen des NS-Zwangsarbeiterlagers Blankenburg,,,,Ilsenburgstraße,,,,,,,,,,,,,,52.593826,13.447549,
4381394730,Eyüp Sultan Moschee,muslim,,,,,,,,,,,,,,,,,52.5436199,13.3663176,
4419026895,Lutherkirchengemeinde,christian,protestant,,,,,,,,,,,,,,,,52.4975351,13.3665182,
4486714441,Kabbalah Center Berlin,jewish,,,Hauptstraße,"27, Eingang E",10827,Schöneberg,Berlin,,,+493078713580,kcberlin@kabbalah.com,,,Mo-Th 12:00-16:00; Fr 12:00-14:00,,,52.4860967,13.354092,
4777467917,Yunus Emre Moschee,muslim,,,Reinickendorfer Straße,38-39,13347,Gesundbrunnen,Berlin,DiTiB,,,,,,,,,52.5489342,13.3692443,Geoportal Berlin / Hausumringe
4817551642,LIFE e.V.,christian,experimential,,Wilhelmshavener Straße,4,10551,,Berlin,,https://lifeberlin.org,,,limited,"Frühgebet Montag & Freitag um 7:45 Uhr, Lobpreis und Gebet Freitags um 19:30 - 21:00 Uhr",,,,52.5279959,13.3415596,
4879970440,Zentralmoschee,muslim,,,Wiener Straße,12,10999,,Berlin,Türkisch-Islamische Union der Anstalt für Religion,,,,,,,,,52.4983623,13.4283306,
4899779632,Redeemed Christian Church of God - Mount Zion Parish,christian,pentecostal,,Badstraße,34,13357,,Berlin,,,,,,,,,,52.5534058,13.3804495,
4917235508,Dominikanerkloster Sankt Paulus,christian,,,Oldenburger Straße,46,10551,,Berlin,,,,,,,,,,52.5276208,13.3353974,
4926337191,Johannische Kirche,christian,,,,,,,,,,,,,,,,,52.4885844,13.2775636,
5034289021,Christliche Wissenschaft,christian,christ_scientist,,Paul-Robeson-Straße,45,10439,,Berlin,,http://www.christian-science-berlin.de/gemeinden.html,,,limited,,,,,52.5521145,13.412401,
5057966521,Neuapostolische Kirche,christian,new_apostolic,,Baruther Straße,4,,,,,,,,no,,,,,52.4940136,13.3895642,
5102322080,Al-Torath e.V.,muslim,shia,,Harzer Straße,51-52,12059,Neukölln,Berlin,Islamische Gemeinschaft der schiitischen Gemeinden Deutschlands e.V. (IGS),,,,,,,,,52.4829894,13.452399,
5102337476,Deutsch-libanesische Al-Balagh e.V.,muslim,shia,,Falckensteinstraße,4,10997,,Berlin,Islamische Gemeinschaft der schiitischen Gemeinden Deutschlands e.V. (IGS),,,bajouk@t-online.de,,,,,,52.5000169,13.4434141,http://www.igs-deutschland.org/die-igs/moscheekarte
5354908060,Evangelische Gemeinschaft,christian,,,,,,,,,https://www.gemeinschaft-prenzlauer-berg.de/,,,no,,,,,52.5499382,13.4056115,
5359144778,Synagoge Herbartstraße,jewish,,,Herbartstraße,26,14057,Charlottenburg,Berlin,Sukkat Schalom e.V.,http://www.sukkat-schalom.de/synagoge.html,,,,,,,,52.5036843,13.2868454,
5749586419,Erlöserkirche,christian,methodist,,Gorkistraße,127,13509,Tegel,Berlin,,,,,,,,,,52.591834,13.3020519,
5760441944,Emir Sultan,muslim,,,,,,,,Emir Sultan Kulturhaus e.V,,,,,,,,,52.4879805,13.3587829,
5969944136,Tekke-i Kadiriyye Mescidi,muslim,,,Karl-Marx-Straße,179,,,,,,,,,,,,,52.4742836,13.4405261,
5969958074,Mehmed Zahid Kotku Tekkesi,muslim,,,Turiner Straße,6,,,,,,,,no,,,,,52.5489283,13.3601581,
5969997512,Seituna Moschee,muslim,,,Sophie-Charlotten-Straße,31,,,,,https://seituna-berlin.de/,,,,,,,,52.5154304,13.2873143,
5970017362,Ditib Anadolu Camii,muslim,,,Katzlerstraße,15,,,,,,,,,,,,,52.4917345,13.3691149,
5970060886,Ashab-i Kehf Camii,muslim,,,Jasmunder Straße,3,,,,,,,,,,,,,52.5391431,13.3887078,
5970082401,Baitul Mukarram Masjid e.V.,muslim,,,Selchower Straße,12,12049,,Berlin,,,,,no,,,,,52.4787946,13.4211838,
5976073569,Xhamia Isa Beuy Moschee,muslim,,,Karl-Marx-Straße,58,12043,,Berlin,,,,,,,,,,52.4827352,13.4317356,
5976087510,Spandau Yeni Camii,muslim,,,Lynarstraße,17,13585,,Berlin,,,,,,,,,,52.5487201,13.2023837,
5976092238,Semerkant Moschee,muslim,,,Kurfürstenstraße,37,,,,,,,,,,,,,52.5004818,13.3608288,
5976101318,Orhan Gazi Camii,muslim,,,Obentrautstraße,35,10963,,Berlin,,,,,,,,,,52.4965099,13.3850921,
5976130396,Neukölln Camii,muslim,,,Hermannstraße,177,12051,,Berlin,,,,,limited,,,,,52.4715918,13.4293871,
5980150601,Muradiye Camii - Türkisch-Islamischer Kulturverein e.V.,muslim,,,Kottbusser Damm,75,10967,,Berlin,,,,,,,,,,52.4905131,13.4240271,
5980162241,Moschee Al-Salam,muslim,,,Goslarer Platz,5,,,,,,,,,,,,,52.5247106,13.3132266,
5980184803,Mimar Sinan Camii,muslim,,,Hermannstraße,120,,,,,,,,limited,,,,,52.4656222,13.4321418,
5988221849,Ibrahim-al-Khalil-Moschee,muslim,sunni,,,,,,,,,,,no,,,,,52.4575259,13.3950503,
6147582386,Buddhistisches Zentrum Berlin der Karma Kagyü Linie,buddhist,vajrayana,,Charlottenburger Straße,28,13086,Weißensee,Berlin,Buddhistische Zentren Ost der Karma Kagyü Linie e.V.,,+49 30 92157680,berlin@diamondway-center.org,,We 19:00-21:00,,,,52.5525475,13.4452454,
6168035493,Ditib Koca Sinan Camii,muslim,,,Holländerstraße,128,,,,,,,,,,,,,52.5623258,13.3636495,
6181021263,Kapelle,christian,,,,,,,,,,,,,,,,,52.5286225,13.3837938,
6288821537,Al Firdaus Moschee,muslim,,,Brüsseler Straße,39,13353,,Berlin,,,,,,,,,,52.546539,13.3495215,
6451805759,Dharma Mati,buddhist,,,Soorstraße,85,14050,Westend,Berlin,,,,,,,,,,52.5170517,13.2791877,
6479789902,American Church in Berlin,christian,,,Bülowstraße,71-72,10783,Schöneberg,Berlin,,https://www.americanchurchberlin.de/,,,,,,,,52.4967907,13.3664292,
6573713854,Kirche Mariae Verkündigung,christian,catholic,,,,,,,,,,,,,,,,52.5136549,13.2589531,
6587735838,Wat Buddhavihara Berlin,buddhist,,,,,,,,,,,,,,,,,52.5693535,13.4460908,
6609901764,Zen Zentrum Berlin,buddhist,zen,,Gottschedstraße,4,13357,Gesundbrunnen,Berlin,Kwan Um Zen Schule Deutschland e.V.,,+49 30 46605090,berlin@kwanumzen.de,no,,,,,52.5498509,13.3698805,
6666493460,Imam Riza Moschee,muslim,,,Reuterstraße,93,12053,Neukölln,Berlin,,,,,,,,,,52.4817242,13.4290588,
6813621285,Äthiopisch-Orthodoxe Gemeinde Berlin,christian,,,,,,,,,,,,,,,,,52.4341427,13.3623924,
7239671339,Evangelische Kirchengemeinde Rixdorf,christian,,,Karl-Marx-Straße,197,,,,,,,,limited,,,,,52.4727133,13.4413119,
7245424102,Berlin Mesih'in Kilisesi,christian,protestant,,Richardstraße,28,12043,Neukölln,Berlin,,,,BerlinMesihinKilisesi@gmail.com,,Su 15:00,"Mo,Th 10:00-12:30; Su 15:00-17:30",,,52.4759459,13.4427478,
7305754087,Mescidi Aksa Camii,muslim,,,Soldiner Straße,72,13359,,Berlin,,,,,yes,,,,,52.5596656,13.3821255,
7330188834,Reset Charlottenburg,christian,protestant,,,,,,,,https://www.reset-charlottenburg.com,,,limited,,Su 10:30+,,,52.4956849,13.2978011,
7548667986,İmam Cafer Sadık Camii,muslim,,,Koloniestraße,106,13359,Gesundbrunnen,Berlin,Imam Djafar Sadegh Moschee und Solidarität e.V.,,,,yes,,,,,52.5620819,13.3813897,
7548668191,Turgut Alp Camii,muslim,,,,,,,,,,,,no,,,,,52.5643593,13.3702349,
7554137778,Happy Science,happy_science,,,Rheinstraße,63,12159,,Berlin,,https://www.happy-science.de/,,,no,,Tu-Su 11:00-20:00,,,52.4706483,13.3347061,
7601365299,Sülemaniye Camii,muslim,,,Müllerstraße,119,13349,Wedding,Berlin,Kulturverein zur Integration und Bildung in Wedding e.V.,,,,,,,,,52.554464,13.3444459,
7695790045,Zentrum für Meditation und tibetischen Yoga,buddhist,,,Laubacher Straße,21,14197,Friedenau,Berlin,Ligmincha Deutschland e.V.,https://dev.ligmincha.de/de/berlin/,,,,,,,,52.4749464,13.3204476,
7747350429,The Chapel of Prayer Christian Ministry,christian,,,,,,,,,,,,yes,,,,,52.4714072,13.344014,
8044529220,Shiva-Ganesha-Tempel,hindu,,,,,,,,,,,,,,,,,52.5090458,13.32215,
8345888598,Kreuzkirche Lankwitz,christian,united_methodist,,Zietenstraße,11,12249,,Berlin,,https://www.kreuzkirche-lankwitz.de/,,,,,,,,52.4293515,13.3362114,
8384940144,ICF Berlin Tempelhof,christian,nondenominational,,Ringbahnstraße,32-34,12099,Tempelhof,Berlin,,https://www.icf-berlin.de/,,,yes,"Su 10:00, 12:00, 18:00",Su 09:30-20:00,,,52.4680699,13.3912348,
8435917976,Evangelische Kirchengemeinde Staaken,christian,protestant,,Obstallee,22E,13593,Staaken,Berlin,,,,,limited,,,,,52.5223755,13.1659198,
8458615128,Ditib Berlin Yeni Cami,muslim,,,Richardstraße,112,12043,Neukölln,Berlin,,,,,,,,,,52.4789941,13.439441,
8570055807,Al-Khayr Moschee,muslim,,,Eichhorster Weg,25,13435,Märkisches Viertel,Berlin,Tschetschenisches Kulturzentrum e. V.,https://www.masjid-al-khayr.de/,,,,,,,,52.5985999,13.3433569,
