,religious_id,name,religion,denomination,institution_type,street,housenumber,postcode,website,phone_number,email,wheelchair_accessible,service_times,opening_hours,heritage,historic,geometry,geom_point,latitude,longitude,wikidata,wikipedia,address,denomination_std,district,neighborhood,neighborhood_id,district_id
10,474359499,Adventgemeinde Köpenick,christian,seventh_day_adventist,,,,,,,,,,,,,POINT (13.5821835 52.4567902),POINT (13.5821835 52.4567902),52.4567902,13.5821835,,,,adventist,Treptow-Köpenick,Köpenick,0910,11009009
11,535628093,Inssan-Moschee,muslim,,,,,,,,,limited,,,,,POINT (13.4012798 52.4981271),POINT (13.4012798 52.4981271),52.4981271,13.4012798,,,,,Friedrichshain-Kreuzberg,Kreuzberg,0202,11002002
12,540969924,Quaker Meeting,christian,quaker,,Planckstraße,20,10117,http://quaeker-berlin.de/,,,,,Su 11:00-12:00,,,POINT (13.3899554 52.520803),POINT (13.3899554 52.520803),52.520803,13.3899554,,,"Planckstraße, 20, Mitte, Berlin, 10117",quaker,Mitte,Mitte,0101,11001001
13,601062306,Mater Dolorosa Kirche,christian,,,Röbellweg,61,13125,http://www.katholische-kirche-berlin-buch.de/,,,yes,,,,,POINT (13.4965275 52.6417777),POINT (13.4965275 52.6417777),52.6417777,13.4965275,,,"Röbellweg, 61, Buch, Berlin, 13125",general_christian,Pankow,Buch,0309,11003003
14,676083788,Fo-Guang-Shan-Tempel,buddhist,,,Ackerstraße,85-86,13355,http://fgs-tempel.de,+49 30 4137621,,no,,Mo-Sa off; Su 10:00-17:00,,,POINT (13.382321 52.5398697),POINT (13.382321 52.5398697),52.5398697,13.382321,,,"Ackerstraße, 85-86, Gesundbrunnen, Berlin, 13355",,Mitte,Gesundbrunnen,0106,11001001
15,701838306,Evangelisch-Freikirchliche Gemeinde K.d.ö.R.,christian,baptist,,Alt-Reinickendorf,32,13407,https://www.efg-reinickendorf.de/,,,yes,Su 10:00,,,,POINT (13.3499542 52.5751911),POINT (13.3499542 52.5751911),52.5751911,13.3499542,,,"Alt-Reinickendorf, 32, Reinickendorf, Berlin, 13407",baptist,Reinickendorf,Reinickendorf,1201,11012012
16,945925159,Sri Ganesha Hindu Tempel,hindu,,,Hasenheide,106,10967,,,info@hindutempelberlin.de,no,,Mo-Su 16:00-18:00,,,POINT (13.4207705 52.4867779),POINT (13.4207705 52.4867779),52.4867779,13.4207705,Q2315172,de:Sri-Ganesha-Hindu-Tempel Berlin,"Hasenheide, 106, Neukölln, Berlin, 10967",,Neukölln,Neukölln,0801,11008008
17,948654862,Gemeindezentrum ev. Kirchengemeinde Rudow,christian,lutheran,,Geflügelsteig,22-28,12355,,,,limited,,,,,POINT (13.4814178 52.4084661),POINT (13.4814178 52.4084661),52.4084661,13.4814178,,,"Geflügelsteig, 22-28, Rudow, Berlin, 12355",lutheran,Neukölln,Rudow,0804,11008008
18,977654857,,christian,,,,,,,,,yes,,,,,POINT (13.48765 52.6185361),POINT (13.48765 52.6185361),52.6185361,13.48765,,,,general_christian,Pankow,Karow,0305,11003003
19,1026420272,,christian,protestant,,,,,,,,,,,,,POINT (13.2696435 52.5504382),POINT (13.2696435 52.5504382),52.5504382,13.2696435,,,,protestant,Reinickendorf,Tegel,1202,11012012
20,1135452610,Katholische Gemeinde St. Lambertus,christian,catholic,,Cautiusstraße,6,13587,,,,yes,,,,,POINT (13.1990851 52.5618242),POINT (13.1990851 52.5618242),52.5618242,13.1990851,,,"Cautiusstraße, 6, Hakenfelde, Berlin, 13587",roman_catholic,Spandau,Hakenfelde,0507,11005005
21,1232194996,Thomas Gemeinde,christian,evangelical,,Bergstraße,92,12169,,+49 30 804 09090,,,,,,,POINT (13.3277379 52.4585319),POINT (13.3277379 52.4585319),52.4585319,13.3277379,,,"Bergstraße, 92, Steglitz, Berlin, 12169",protestant,Steglitz-Zehlendorf,Steglitz,0601,11006006
22,1256840401,ChristusKirche Berlin-Mitte,christian,pentecostal,,Anklamer Straße,31,10115,,+49 30 91206070,buero@christuskirche-berlin.de,,Su 10:00+,,,,POINT (13.3995255 52.5363614),POINT (13.3995255 52.5363614),52.5363614,13.3995255,Q15108777,de:Christuskirche (Berlin-Mitte),"Anklamer Straße, 31, Mitte, Berlin, 10115",pentecostal,Mitte,Mitte,0101,11001001
23,1274338417,Ev. Kirchengem. Hermsdorf,christian,,,Wachsmuthstraße,24,13467,https://www.ekibh.de/,,,yes,,,,,POINT (13.3110728 52.6175317),POINT (13.3110728 52.6175317),52.6175317,13.3110728,,,"Wachsmuthstraße, 24, Hermsdorf, Berlin, 13467",general_christian,Reinickendorf,Hermsdorf,1206,11012012
24,1309021897,Buddhistisches Zentrum Bodhicharya Deutschland e.V.,buddhist,,,Kinzigstraße,25,10247,,,,yes,,,,,POINT (13.4654696 52.5122972),POINT (13.4654696 52.5122972),52.5122972,13.4654696,,,"Kinzigstraße, 25, Friedrichshain, Berlin, 10247",,Friedrichshain-Kreuzberg,Friedrichshain,0201,11002002
25,1313117575,Stadtmission Gemeinde im Zentrum am Hauptbahnhof,christian,protestant,,Lehrter Straße,68,10557,https://www.berliner-stadtmission.de/gem-zah,+4930690333,,yes,,,,,POINT (13.3634646 52.5263666),POINT (13.3634646 52.5263666),52.5263666,13.3634646,,,"Lehrter Straße, 68, Moabit, Berlin, 10557",protestant,Mitte,Moabit,0102,11001001
26,1370499165,Kirche des Nazareners,christian,methodist,,,,,,,,,,,,,POINT (13.3160909 52.4552861),POINT (13.3160909 52.4552861),52.4552861,13.3160909,,,,methodist,Steglitz-Zehlendorf,Steglitz,0601,11006006
27,1392943281,Evangelische Gemeinschaft Friedenau,christian,protestant,,Friedrich-Wilhelm-Platz,7,12161,https://www.gemeinschaft-friedenau.de/wp/,,,no,,,,,POINT (13.3275731 52.4716845),POINT (13.3275731 52.4716845),52.4716845,13.3275731,,,"Friedrich-Wilhelm-Platz, 7, Friedenau, Berlin, 12161",protestant,Tempelhof-Schöneberg,Friedenau,0702,11007007
28,1404465171,Königreichssaal Jehovas Zeugen,christian,jehovahs_witness,,Weißenburger Straße,35,13595,https://www.jw.org/de/,,,yes,"We, Th 19:00-20:45, Su 11:00-12:45, 14:30-16:15",,,,POINT (13.2012548 52.5235611),POINT (13.2012548 52.5235611),52.5235611,13.2012548,,,"Weißenburger Straße, 35, Berlin, 13595",jehovahs_witness,Spandau,Wilhelmstadt,0509,11005005
29,1404484782,Königreichssaal Jehovas Zeugen,christian,jehovahs_witness,,Seeburger Straße,32E,13581,https://www.jw.org/de/,,,yes,"Tu-Th 19:00-20:45, Sa 10:00-11:45, Su 10:00-11:45",,,,POINT (13.1824095 52.5276681),POINT (13.1824095 52.5276681),52.5276681,13.1824095,,,"Seeburger Straße, 32E, Wilhelmstadt, Berlin, 13581",jehovahs_witness,Spandau,Wilhelmstadt,0509,11005005
30,1505231652,Schloßkirche,christian,protestant,,,,,,,,limited,,,,,POINT (13.5739658 52.4436435),POINT (13.5739658 52.4436435),52.4436435,13.5739658,Q2244593,,,protestant,Treptow-Köpenick,Köpenick,0910,11009009
31,1556403863,Baptisten-Gemeinde,christian,baptist,,,,13086,http://www.efg-weissensee.org,,,no,Su 10:00,,,,POINT (13.440396 52.5526918),POINT (13.440396 52.5526918),52.5526918,13.440396,,,13086,baptist,Pankow,Weißensee,0302,11003003
32,1602071051,Franziskanerkloster,christian,roman_catholic,,Wollankstraße,,13187,,,,yes,,,,,POINT (13.3945595 52.5659379),POINT (13.3945595 52.5659379),52.5659379,13.3945595,Q73011704,,"Wollankstraße, Pankow, Berlin, 13187",roman_catholic,Pankow,Pankow,0307,11003003
33,1813041607,St. Franziskus - Kapelle,christian,,,,,,,,,,,,,,POINT (13.3457893 52.5059403),POINT (13.3457893 52.5059403),52.5059403,13.3457893,,,,general_christian,Mitte,Tiergarten,0104,11001001
34,1891429795,Stadtmission Gemeinde Tegel,christian,protestant,,Billerbecker Weg,112-114,13507,https://www.berliner-stadtmission.de/gem-tegel,,,,,,,,POINT (13.2752084 52.5751024),POINT (13.2752084 52.5751024),52.5751024,13.2752084,,,"Billerbecker Weg, 112-114, Berlin, 13507",protestant,Reinickendorf,Tegel,1202,11012012
35,1903040914,Adventgemeinde Pankow,christian,seventh_day_adventist,,Eichenstraße,61,13156,http://www.sta-berlin-pankow.de/STA_Pankow/Startseite.html,,,yes,,,,,POINT (13.3990095 52.5860016),POINT (13.3990095 52.5860016),52.5860016,13.3990095,,,"Eichenstraße, 61, Niederschönhausen, Berlin, 13156",adventist,Pankow,Niederschönhausen,0311,11003003
36,1976696605,Gazi Osman Pasa Moschee eV,muslim,,,Schöneweider Straße,11,12055,,,,limited,,,,,POINT (13.445666 52.4718577),POINT (13.445666 52.4718577),52.4718577,13.445666,,,"Schöneweider Straße, 11, Neukölln, Berlin, 12055",,Neukölln,Neukölln,0801,11008008
37,2145256562,Buddhistisches Tor Berlin,buddhist,,,,,10967,https://buddhistisches-tor-berlin.de/,,,yes,,,,,POINT (13.4125654 52.4925385),POINT (13.4125654 52.4925385),52.4925385,13.4125654,,,10967,,Friedrichshain-Kreuzberg,Kreuzberg,0202,11002002
38,2281044959,Evangelische Reformierte Bethlehemsgemeinde,christian,reformed,,Richardstraße,97,12043,,,,yes,,,,,POINT (13.4419312 52.4767583),POINT (13.4419312 52.4767583),52.4767583,13.4419312,,,"Richardstraße, 97, Berlin, 12043",reformed,Neukölln,Neukölln,0801,11008008
39,2303055234,International Christian Revival Church,christian,,,,,,,,,,,,,,POINT (13.3658262 52.548976),POINT (13.3658262 52.548976),52.548976,13.3658262,,,,general_christian,Mitte,Wedding,0105,11001001
40,2412265590,International Zen Temple,buddhist,,,,,,https://www.international-zen-temple.de/,,,,,,,,POINT (13.4216124 52.5008249),POINT (13.4216124 52.5008249),52.5008249,13.4216124,,,,,Friedrichshain-Kreuzberg,Kreuzberg,0202,11002002
41,2439362666,Stadtmission Gemeinde Frankfurter Allee,christian,protestant,,Frankfurter Allee,96,10247,https://www.berliner-stadtmission.de/gem-ffa,,,,,,,,POINT (13.4723349 52.5134409),POINT (13.4723349 52.5134409),52.5134409,13.4723349,,,"Frankfurter Allee, 96, Friedrichshain, Berlin, 10247",protestant,Friedrichshain-Kreuzberg,Friedrichshain,0201,11002002
42,2478866162,Markaz Rasulallah e.V.,muslim,shia,,Seeburger Straße,65,13581,,,,,,,,,POINT (13.1838279 52.5265817),POINT (13.1838279 52.5265817),52.5265817,13.1838279,,,"Seeburger Straße, 65, Wilhelmstadt, Berlin, 13581",shia,Spandau,Wilhelmstadt,0509,11005005
43,2501779747,Stadtmission Gemeinde Wedding,christian,protestant,,Stettiner Straße,45,13357,https://www.berliner-stadtmission.de/gem-wedding,,,,,,,,POINT (13.386745 52.5539109),POINT (13.386745 52.5539109),52.5539109,13.386745,,,"Stettiner Straße, 45, Gesundbrunnen, Berlin, 13357",protestant,Mitte,Gesundbrunnen,0106,11001001
44,2529484537,Indonesisches Weisheits- & Kulturzentrum,muslim,sunni,,Feldzeugmeisterstraße,1,10557,https://iwkz.de/,,,,,,,,POINT (13.3519377 52.5329001),POINT (13.3519377 52.5329001),52.5329001,13.3519377,,,"Feldzeugmeisterstraße, 1, Moabit, Berlin, 10557",sunni,Mitte,Moabit,0102,11001001
45,2625794374,Paulus-Gemeinde Berlin-Pankow e.V.,christian,protestant,,Florastraße,35,13187,http://www.paulusgemeinde-pankow.de/,,,no,,,,,POINT (13.4068043 52.5653374),POINT (13.4068043 52.5653374),52.5653374,13.4068043,,,"Florastraße, 35, Pankow, Berlin, 13187",protestant,Pankow,Pankow,0307,11003003
46,2699488273,Evangelisch Apostolische Johannes Gemeinde,christian,protestant,,,,,,,,,,,,,POINT (13.3601004 52.5958406),POINT (13.3601004 52.5958406),52.5958406,13.3601004,,,,protestant,Reinickendorf,Märkisches Viertel,1210,11012012
47,2759261083,Hamidiye Camii,muslim,sunni,,Sonnenallee,18,12047,,,,yes,,,,,POINT (13.4273767 52.4860503),POINT (13.4273767 52.4860503),52.4860503,13.4273767,,,"Sonnenallee, 18, Berlin, 12047",sunni,Neukölln,Neukölln,0801,11008008
48,2822957669,Alevitischer Kulturverein Berlin e.V. Oniki Imam Yolu/Weg der Zwölf Imame,muslim,shia,,Richardstraße,110,12043,http://www.oniki-imam-yolu.com/,,,,,,,,POINT (13.4388682 52.4784894),POINT (13.4388682 52.4784894),52.4784894,13.4388682,,,"Richardstraße, 110, Neukölln, Berlin, 12043",shia,Neukölln,Neukölln,0801,11008008
49,2848134843,Islamisches Imam Hassan Werk e.V.,muslim,shia,,Im Lesachtal,24,12107,,,,,,,,,POINT (13.4025532 52.4247877),POINT (13.4025532 52.4247877),52.4247877,13.4025532,,,"Im Lesachtal, 24, Mariendorf, Berlin, 12107",shia,Tempelhof-Schöneberg,Mariendorf,0704,11007007
50,2860740786,Friedhofskapelle,christian,,,Walter-Leistikow-Weg,10,12623,,,,,,,,,POINT (13.6319911 52.5208101),POINT (13.6319911 52.5208101),52.5208101,13.6319911,,,"Walter-Leistikow-Weg, 10, Mahlsdorf, Berlin, 12623",general_christian,Marzahn-Hellersdorf,Mahlsdorf,1004,11010010
51,2865873505,Martin-Luther-King-Kirche,christian,protestant,,Martin-Luther-King-Weg,8,12351,https://www.kirche-gropiusstadt.de,,,,,,,,POINT (13.4554551 52.4283802),POINT (13.4554551 52.4283802),52.4283802,13.4554551,,,"Martin-Luther-King-Weg, 8, Gropiusstadt, Berlin, 12351",protestant,Neukölln,Gropiusstadt,0805,11008008
52,2867830690,Apostelamt Jesu Christi,christian,,,Chamissostraße,4,13587,,,,,,,,,POINT (13.2090936 52.5604095),POINT (13.2090936 52.5604095),52.5604095,13.2090936,,,"Chamissostraße, 4, Hakenfelde, Berlin, 13587",general_christian,Spandau,Hakenfelde,0507,11005005
53,2876493701,Weidenkirche,christian,lutheran,,Kremnitzufer,9,14109,https://www.weidenkirche-berlin.de/standort.html,,,,,,,,POINT (13.1592394 52.3954696),POINT (13.1592394 52.3954696),52.3954696,13.1592394,,,"Kremnitzufer, 9, Berlin, 14109",lutheran,Steglitz-Zehlendorf,Wannsee,0607,11006006
54,3020434398,Ev. Kirchengemeinde Epiphanien,christian,lutheran,,Knobelsdorffstraße,72,14059,,,,,10:00 Uhr,,,,POINT (13.2847313 52.5131001),POINT (13.2847313 52.5131001),52.5131001,13.2847313,,,"Knobelsdorffstraße, 72, Westend, Berlin, 14059",lutheran,Charlottenburg-Wilmersdorf,Westend,0405,11004004
55,3039050111,Jagannatha Tempel Berlin,hindu,hare_krishna,,Berliner Allee,209,13088,http://www.tempelberlin.de/,,,limited,,,,,POINT (13.4666789 52.5568446),POINT (13.4666789 52.5568446),52.5568446,13.4666789,,,"Berliner Allee, 209, Weißensee, Berlin, 13088",hare_krishna,Pankow,Weißensee,0302,11003003
56,3039050989,Stadtmission Gemeinde Bizetstraße,christian,protestant,,Bizetstraße,75,13088,https://www.berliner-stadtmission.de/gem-bizetstrasse,,,,,,,,POINT (13.4568597 52.5486002),POINT (13.4568597 52.5486002),52.5486002,13.4568597,,,"Bizetstraße, 75, Weißensee, Berlin, 13088",protestant,Pankow,Weißensee,0302,11003003
57,3145126656,Valide Sultan Camii,muslim,,,,,,,,,no,,,,,POINT (13.3368317 52.4716001),POINT (13.3368317 52.4716001),52.4716001,13.3368317,,,,,Tempelhof-Schöneberg,Friedenau,0702,11007007
58,3167606461,Serbisch-orthodoxe Christi-Auferstehungs-Kirche,christian,serbian_orthodox,,Schwanheimer Straße,11,,,,,,,,,,POINT (13.4177462 52.4616075),POINT (13.4177462 52.4616075),52.4616075,13.4177462,,,"Schwanheimer Straße, 11",serbian_orthodox,Tempelhof-Schöneberg,Tempelhof,0703,11007007
59,3332061408,Interkulturelles Zentrum für Dialog und Bildung e.V.,muslim,sunni,,Drontheimer Straße,32A,13359,https://izdb-berlin.de/,+49 30 49500803,,,sunrise-sunset,sunrise-sunset,,,POINT (13.3746465 52.5587606),POINT (13.3746465 52.5587606),52.5587606,13.3746465,,,"Drontheimer Straße, 32A, Gesundbrunnen, Berlin, 13359",sunni,Mitte,Gesundbrunnen,0106,11001001
60,3401492942,Alt-Katholische Gemeinde Berlin,christian,catholic,,Hauptstraße,48,10827,http://berlin.alt-katholisch.de/,,,,Mittwoch 	      18:00–20:30  	 Donnerstag 	      Geschlossen  	 Freitag 	      Geschlossen  	 Samstag 	      Geschlossen  	 Sonntag 	      10:30–12:00  	 Montag 	      Geschlossen  	 Dienstag 	      Geschlossen,,,,POINT (13.3494207 52.4829515),POINT (13.3494207 52.4829515),52.4829515,13.3494207,,,"Hauptstraße, 48, Wilmersdorf, Berlin, 10827",roman_catholic,Tempelhof-Schöneberg,Schöneberg,0701,11007007
61,3410334471,Gereja Bethel Indonesia Jemaat Bethany,christian,baptist,,Wallstraße,32,10179,https://www.gbiberlin.org/,,,no,Su 11:00,,,,POINT (13.4110167 52.5116982),POINT (13.4110167 52.5116982),52.5116982,13.4110167,,,"Wallstraße, 32, Mitte, Berlin, 10179",baptist,Mitte,Mitte,0101,11001001
62,3411055106,Evangelisch-Freikirchliche Gemeinde Bethel,christian,evangelisch-freikirchlich,,Schillerstraße,26,12207,https://www.efg-bethel.de/,,,yes,Su 10:30,,,,POINT (13.3211132 52.4278755),POINT (13.3211132 52.4278755),52.4278755,13.3211132,,,"Schillerstraße, 26, Berlin, 12207",evangelical_free_church,Steglitz-Zehlendorf,Lichterfelde,0602,11006006
63,3411066489,Evangelisch-Freikirchliche Gemeinde,christian,Brüder,,,,,https://www.efg-freibergstrasse.de/,,,yes,Su 10:00,,,,POINT (13.3850013 52.435351),POINT (13.3850013 52.435351),52.435351,13.3850013,,,,brethren,Tempelhof-Schöneberg,Mariendorf,0704,11007007
64,3411082818,Evangelisch-Freikirchliche Gemeinde,christian,baptist,,,,,http://www.efg-marzahn.de,,,,Su 10:00,,,,POINT (13.5656101 52.5455401),POINT (13.5656101 52.5455401),52.5455401,13.5656101,,,,baptist,Marzahn-Hellersdorf,Marzahn,1001,11010010
65,3411168898,Evangelisch-Freikirchliche Gemeinde,christian,baptist,,,,,https://www.kirche-deulstrasse.de/,,,,Su 10:00,,,,POINT (13.5105961 52.4670315),POINT (13.5105961 52.4670315),52.4670315,13.5105961,,,,baptist,Treptow-Köpenick,Oberschöneweide,0909,11009009
66,3411207173,Friedenskirche,christian,methodist,,,,,https://friedenskirche.net/,,,yes,Su 09:30,,,,POINT (13.5098933 52.4667373),POINT (13.5098933 52.4667373),52.4667373,13.5098933,,,,methodist,Treptow-Köpenick,Oberschöneweide,0909,11009009
67,3411265895,Evangelisch-Freikirchliche Neues Leben Gemeinde,christian,Brüder,,,,,https://efg-neues-leben.de/,,,no,Su 10:30,,,,POINT (13.52337 52.4633355),POINT (13.52337 52.4633355),52.4633355,13.52337,,,,brethren,Treptow-Köpenick,Oberschöneweide,0909,11009009
68,3411369680,"Evangelisch-Freikirchliche Gemeinde ""Zoar""",christian,baptist,,Cantianstraße,9,10437,http://www.efg-zoar.de/,,,yes,Su 10:00,,,,POINT (13.4114087 52.5445845),POINT (13.4114087 52.5445845),52.5445845,13.4114087,,,"Cantianstraße, 9, Prenzlauer Berg, Berlin, 10437",baptist,Pankow,Prenzlauer Berg,0301,11003003
69,3411476712,Evangelisch-Freikirchliche Gemeinde,christian,Brüder,,,,,https://www.efg-hohenstaufenstr.de/,,,,Su 10:45,,,,POINT (13.3510938 52.4941039),POINT (13.3510938 52.4941039),52.4941039,13.3510938,,,,brethren,Tempelhof-Schöneberg,Schöneberg,0701,11007007
70,3411527446,Evangelisch-Freikirchliche Gemeinde Berlin-Spandau,christian,baptist,,,,,https://www.baptisten-spandau.de/,,j.brandes@baptisten-spandau.de,limited,Su 10:00,,,,POINT (13.2053108 52.54734),POINT (13.2053108 52.54734),52.54734,13.2053108,,,,baptist,Spandau,Spandau,0501,11005005
71,3411616993,Evangelisch-Freikirchliche Bethel-Gemeinde,christian,baptist,,,,,http://www.kirche-im-haus.de,,,no,Su 10:00,,,,POINT (13.2874309 52.5872326),POINT (13.2874309 52.5872326),52.5872326,13.2874309,,,,baptist,Reinickendorf,Tegel,1202,11012012
72,3411706623,Evangelisch-Freikirchliche Gemeinde,christian,Brüder,,Buttmannstraße,10,13357,https://www.bruedergemeinde-berlin.de/,,,no,Su 10:30,,,,POINT (13.3773848 52.551225),POINT (13.3773848 52.551225),52.551225,13.3773848,,,"Buttmannstraße, 10, Berlin, 13357",brethren,Mitte,Gesundbrunnen,0106,11001001
73,3411726933,Evangelisch-Freikirchliche Gemeinde,christian,Brüder,,Hildegardstraße,20a,10715,,,,,Su 10:30,,,,POINT (13.3225114 52.4810184),POINT (13.3225114 52.4810184),52.4810184,13.3225114,,,"Hildegardstraße, 20a, Wilmersdorf, Berlin, 10715",brethren,Charlottenburg-Wilmersdorf,Wilmersdorf,0402,11004004
74,3448408580,Greater Grace Evangelische Freikirche,christian,protestant,,,,,http://ggberlin.org,,,,,,,,POINT (13.3471464 52.4789102),POINT (13.3471464 52.4789102),52.4789102,13.3471464,,,,protestant,Tempelhof-Schöneberg,Schöneberg,0701,11007007
75,3667655313,Adventgemeinde Spandau,christian,adventist,,Tiefwerderweg,5,13597,,,,,,,,,POINT (13.2071089 52.5276476),POINT (13.2071089 52.5276476),52.5276476,13.2071089,,,"Tiefwerderweg, 5, Spandau, Berlin, 13597",adventist,Spandau,Spandau,0501,11005005
76,3737533306,Bilal Moschee,muslim,sunni,,Drontheimer Straße,16,13359,,,,,,,,,POINT (13.3772248 52.5594755),POINT (13.3772248 52.5594755),52.5594755,13.3772248,,,"Drontheimer Straße, 16, Gesundbrunnen, Berlin, 13359",sunni,Mitte,Gesundbrunnen,0106,11001001
77,3786111363,Shaolin Tempel,buddhist,,,,,,http://www.shaolin-tempel.eu/shaolin/index.php/de/shaolin-tempel,,,,,,,,POINT (13.3310637 52.4974645),POINT (13.3310637 52.4974645),52.4974645,13.3310637,,,,,Charlottenburg-Wilmersdorf,Wilmersdorf,0402,11004004
78,3834064759,Osman Gazi Camii,muslim,sunni,,Nehringstraße,27,14059,,,,,,,,,POINT (13.2942714 52.5160494),POINT (13.2942714 52.5160494),52.5160494,13.2942714,,,"Nehringstraße, 27, Charlottenburg, Berlin, 14059",sunni,Charlottenburg-Wilmersdorf,Charlottenburg,0401,11004004
79,3838822221,Kreuzbergprojekt,christian,evangelical,,Lenaustraße,4,12047,,,,,,,,,POINT (13.4251285 52.4899073),POINT (13.4251285 52.4899073),52.4899073,13.4251285,,,"Lenaustraße, 4, Berlin, 12047",protestant,Neukölln,Neukölln,0801,11008008
80,4009581509,Al-Iman-Moschee,muslim,,,Badstraße,21,13357,,,,yes,,,,,POINT (13.3828026 52.551925),POINT (13.3828026 52.551925),52.551925,13.3828026,,,"Badstraße, 21, Gesundbrunnen, Berlin, 13357",,Mitte,Gesundbrunnen,0106,11001001
81,4033002786,Stadtmission Gemeinde Friedrichsfelde Ost,christian,protestant,,Seddiner Straße,1,10315,https://www.berliner-stadtmission.de/gem-friedrich-ost,,,,,,,,POINT (13.5231746 52.5129872),POINT (13.5231746 52.5129872),52.5129872,13.5231746,,,"Seddiner Straße, 1, Friedrichsfelde, Berlin, 10315",protestant,Lichtenberg,Friedrichsfelde,1101,11011011
82,4033039485,Stadtmission Gemeinde Pankow,christian,protestant,,Berliner Straße,44,13189,https://www.berliner-stadtmission.de/gem-pankow,,,yes,,,,,POINT (13.4123837 52.5606059),POINT (13.4123837 52.5606059),52.5606059,13.4123837,,,"Berliner Straße, 44, Berlin, 13189",protestant,Pankow,Pankow,0307,11003003
83,4033046356,Stadtmission Gemeinde Wilmersdorf,christian,protestant,,Joachim-Friedrich-Straße,46,10711,https://www.berliner-stadtmission.de/gem-wilmersdorf,,,,,,,,POINT (13.2957393 52.4971471),POINT (13.2957393 52.4971471),52.4971471,13.2957393,,,"Joachim-Friedrich-Straße, 46, Berlin, 10711",protestant,Charlottenburg-Wilmersdorf,Halensee,0407,11004004
