geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,health_facility:type,health_specialty:dentistry,healthcare,medical_system:western,office,operator,description,level,name,opening_hours,wheelchair,phone,toilets:wheelchair,website,contact:website,contact:email,contact:fax,contact:phone,check_date:opening_hours,check_date,email,fax,healthcare:speciality,air_conditioning,internet_access,internet_access:fee,payment:bank_transfer,payment:cash,payment:credit_cards,payment:debit_cards,payment:paypal,source,toilets,entrance,opening_hours:signed,wheelchair:description,emergency,name:de,name:en,payment:contactless,start_date,disused:name,disused:office,note,addr:city:fa,addr:housename,alt_name,short_name,shop,addr:floor,brand,brand:wikidata,cash_withdrawal:operator,branch,counselling_type:nutrition,provided_for:boy,provided_for:girl,addr:place,source:date,url,payment:cards,payment:girocard,opening_hours:note:de,payment:mastercard,payment:visa,fixme,name:ja,payment:insurance,payment:invoice,contact:facebook,contact:instagram,noname,smoking,health_specialty:oral_surgery,health_specialty:orthodontics,health_specialty:periodontology,language:ar,wikimedia_commons,survey:date,craft,opening_hours:covid19,addr:inclusion,language:tr,kids_area:indoor,name:vi,whatsapp,check_date:currency:XBT,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,name:signed,building,building:levels,roof:shape,type
POINT (13.5250672 52.4821618),,,112,,Treskowallee,,dentist,,,dentist,,,,,,Zahnklinik Ost GmbH,Mo-Fr 07:00-21:00,yes,+493050014944,,https://www.zahnklinik-ost.de/,,,,,2023-05-26,,karlshorst@zahnklinik-ost.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2721971 52.539162),Berlin,DE,117,13629,Goebelstraße,Siemensstadt,dentist,,,dentist,,,,,,Dr. Robert Schulz,,,,,,,,,+49 30 3813400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2646306 52.5375986),Berlin,DE,26,13629,Rohrdamm,Siemensstadt,dentist,,,,,,,,,Dr. Bodo Seidel,"Mo 10:00-19:00; Tu 08:00-15:00; We 10:00-19:00; Th 08:00-13:00,14:00-18:00; Fr 08:00-12:00",,+49 30 3828415,,https://www.za-seidel.de/,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4777222 52.5000343),Berlin,DE,5B,10317,Hauptstraße,Rummelsburg,dentist,,,dentist,,,Dr. med. Joachim Kalinke,,,Zahnarzt Dr. Kalinke,"Mo,Th 08:00-16:00; Tu 08:00-16:00; Fr 08:00-13:00",yes,,,,,,,+49 30 5589089,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.314376 52.4815199),Berlin,DE,17,10713,Mecklenburgische Straße,Wilmersdorf,dentist,,,dentist,,,,,,Zahnarztpraxis Toma,"Mo-Fr 09:00-13:00, Mo,Tu,Th 14:00-18:00",yes,+49 30 8243402,,,https://www.za-toma.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3172496 52.4727155),Berlin,DE,9,14197,Landauer Straße,Wilmersdorf,dentist,,,dentist,,,,,,Dr. med. dent. Stella Talesnik,"Mo-Th 09:00-13:00,14:00-18:00",yes,,,,,,,,,,,,orthodontics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3596273 52.4340065),Berlin,,40,12249,Kamenzer Damm,Lankwitz,dentist,,,dentist,,,,,,Peter Krause,,,+49 30 7751071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4225578 52.5609416),Berlin,,13,13189,Neumannstraße,,dentist,,,dentist,,,,,,Dental 21,Mo-Th 08:00-20:00; Fr 08:00-16:00,,,,https://www.dental21-pankow.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3973766 52.5814655),,,,,,,dentist,,,dentist,,,,,,Dipl.-Stom. Rolf Jammer,"Mo,We 12:00-18:00; Tu,Th 08:00-13:00",limited,,,,,,,,2025-01-26,2025-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4273474 52.5456067),Berlin,DE,176,10409,Prenzlauer Allee,Prenzlauer Berg,dentist,,,dentist,,,MVZ Volksdent GmbH,,,MVZ Volksdent,Mo-Th 09:00-18:00; Fr 09:00-17:00,limited,+49 30 22325373,,https://volksdent.de,,,,,2023-05-20,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4104527 52.5701667),Berlin,DE,3,13187,Berliner Straße,Pankow,dentist,,,dentist,,,,,,Dr. Springer,"""nach Vereinbarung""",no,,,,https://pankow-zahnarzt.berlin,,,,,2025-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4654732 52.5285621),Berlin,DE,40,10369,Karl-Lade-Straße,,dentist,,,dentist,,,,,,Zahnarztpraxis Birgit Kleinschmidt,"Tu,Fr 08:00-15:00, We,Th 14:00-20:00, We 14:00-16:00",limited,,,,https://www.zahnarztpraxis-kleinschmidt.de/,,,,2025-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5138099 52.4480148),Berlin,DE,14,12487,Pilotenstraße,Johannisthal,dentist,,,dentist,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5355561 52.4327892),,,,,,,dentist,,,Denthetika,,,Dr. Maren Schmidt,,,Dhentica,"Mo 12:00-20:00, Tu 09:00-17:00, Th 10:00-20:00, Fr 09:00-12:00, Mi, Sa ""nach Vereinbarung""",,,,,,,,,2025-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4187141 52.5007252),,,94,,Adalbertstraße,,dentist,,,dentist,,,,,,Kottident,"Mo,Tu,Th 09:00-14:00,15:00-19:00; We 14:00-20:00; Fr 09:00-15:00; Sa ""nach Vereinbarung""",,,,https://kottident.de,,info@kottident.de,,+49 30 3911155; +49 30 69598003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4125501 52.5032559),Berlin,DE,53,10969,Oranienstraße,Kreuzberg,dentist,,,dentist,,,,,,Dr. A. Hessberger,"Mo,Tu,Th 11:00-19:00; We 09:00-14:00; Fr 09:00-14:00",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.413253 52.5028297),Berlin,DE,158,10969,Oranienstraße,Kreuzberg,dentist,,,dentist,,,,,,Kinderdentist,Mo-Th 08:00-20:00; Fr 08:00-18:00,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4224807 52.4996752),Berlin,DE,9-10,10999,Mariannenstraße,Kreuzberg,dentist,,,dentist,,,Zahnarztpraxis Hanan Hafez-Holz,,3,Kiez-Smile,,,,,https://zahnarzt-hafez-holz-berlin.de,,,,+49 30 6158728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2891596 52.4978625),Berlin,DE,14,10711,Ringbahnstraße,Halensee,dentist,,,dentist,,,,,,Andrea-Maria Sistori,"Mo,Tu,Th 08:00-15:00; We,Fr 12:00-20:00",limited,,,https://www.zahnarzt-sistori.de/,,,,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5465311 52.526948),,,,,,,dentist,,,dentist,,,,,,Michael Heine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4522867 52.5015153),,,,,,,dentist,,,dentist,,,,,,Dr. Weibrecht,Mo 08:00-15:00; Tu 10:00-18:00; We 14:00-19:00; Th 12:00-19:00; Fr 08:00-13:00,no,,no,,,,,,2025-04-01,2025-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3167165 52.6170354),,,,,,,dentist,,,dentist,,,,,,Tina Sommerfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.1403245 52.4121997),,,,,,,dentist,,,dentist,,,,,,Zahnarztpraxis Dr. Leo Pishwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3905468 52.5257791),Berlin,DE,1,10117,Auguststraße,Mitte,dentist,,,dentist,,,,,,Zahnretter Berlin,,,+49 30 6514354,,https://www.zahnretter-berlin.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2091794 52.5472091),,,,,,,dentist,,,dentist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2777074 52.5759456),Berlin,DE,132a,13507,Bernauer Straße,Tegel,dentist,,,dentist,,,,,,Grietje Franken,Mo-Fr 9:00-14:00,,+49 30 43566767,,https://www.zahnarzt-tegel-sued.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3258882 52.4603579),Berlin,DE,11,12163,Hubertusstraße,Steglitz,dentist,,,dentist,,,,,,Dr. Sabine Weiß & Juliane Sonnen,"Mo,Th 09:00-13:00,14:00-19:00; Tu,Fr 09:00-13:00; We 09:00-13:00,14:00-20:00",no,,no,,http://www.dr-sabine-weiss.de/,,,+49 30 7937413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4141423 52.549214),Berlin,DE,75,10439,Schönhauser Allee,Prenzlauer Berg,dentist,,,dentist,,,,,,Zahnarztpraxis Schäfer,"Mo,Th 08:00-14:00; Tu,We 11:00-19:00; Fr 08:00-13:00",yes,,,https://www.zapinar.de/,,,,+49304483164,2021-07-26,,,,,,,,,,,,,,,,,Fahrstuhl und Türöffner vorhanden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4451958 52.5175395),Berlin,DE,105A,10243,Karl-Marx-Allee,Friedrichshain,dentist,,,dentist,,,Maznt Laouant,,,Fachzentrum für Zahnheilkunde und Implantologie,"Mo,We 12:00-19:00; Tu,Th 08:00-16:00; Fr 08:00-13:00",no,,,,http://www.zap-kama105a.de/,kontakt@zap-kama105a.de,,+49 30 4227254,2023-12-26,,,,implantology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4471274 52.520238),Berlin,,73,10249,Richard-Sorge-Straße,,dentist,,,dentist,,,,"Zahnarztpraxis Ursula Frömming, Ruth Bodenheimer",,Zahnarztpraxis Bodenheimer Frömming,Mo-Th 09:00-18:00; Fr 09:00-15:00,no,+49 30 42010110;+49 304272627,,https://zahnarztpraxis-froemming.com,,,,,,,,+49 3042010111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.261588 52.5098903),Berlin,DE,10,14052,Länderallee,Westend,dentist,,,dentist,,,,,,Dr. Saskia Herbst-Liebmann Kieferorthopädie,"Mo-Th 08:00-18:00; Fr 08:00-13:00; Sa,Su,PH off",,+49 30 3045891,,https://www.kieferorthopaedin.berlin/,,,,,2024-05-05,,,+49 30 3049306,orthodontics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4392054 52.4782712),Berlin,DE,108,12043,Richardstraße,Neukölln,dentist,,,dentist,,,,,,Zahnarzt Ingrid Wolf,"Mo 12:00-18:00, Tu 10:00-16:00, We 10:00-14:00, Th 13:00-18:00, Fr 09:00-14:00",limited,,,,,,,+49 30 6871846,2023-05-24,2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4157657 52.5527983),,,,,,,dentist,,,dentist,,,,,,Dr. med. dent. Heike Tischer,"Mo 11:00-17:00, Tu 11:00-19:00, We 09:00-12:00, Th 09:00-17:00",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3454904 52.5662551),Berlin,,27,13407,Gotthardstraße,,dentist,,,dentist,,,,,,Wunschlächeln,Mo-Th 08:00-20:00; Fr 08:00-14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3290979 52.4784281),Berlin,DE,12a,10715,Bundesplatz,Wilmersdorf,dentist,,,dentist,,,,,,Zahnartzpraxis am Bundesplatz,"Mo-Fr 10:00-15:00; Tu,Th 14:00-19:00",,+49 30 91145657,,https://www.zahnarztpraxis-am-bundesplatz.de/,,,,,,2025-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.345827 52.5298986),Berlin,,,,,,dentist,,,dentist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4301125 52.5368578),Berlin,DE,104,10405,Danziger Straße,Prenzlauer Berg,dentist,,,dentist,,,,,,Ulrich Lohse,"Mo 10:00-19:00; Tu 08:00-13:00; We 10:00-14:00,15:00-19:00; Th 08:00-15:00",limited,,,,,,,+49 30 4427005,2025-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4309956 52.4605064),Berlin,DE,28,12347,Germaniapromenade,Britz,dentist,,,dentist,,,Bettina Ackermann;Robin Hoyer;Jamila Dybe;Katharina Hoyer,,,Praxis für Zahnheilkunde und Kieferorthopädie,"Mo-Fr 09:00-19:00 || ""und nach Vereinbarung""",no,,,,https://www.zahnaerzte-britz.de/,,,+49 30 6255302,,2024-02-18,,,orthodontics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3832099 52.4838724),Berlin,DE,10,12101,Manfred-von-Richthofen-Straße,Tempelhof,dentist,,,dentist,,,,,,Zahnarztpraxis K. Jovanovic-Leskova,"Mo-Th 09:00-12:00,15:00-18:00; Fr 09:00-12:00",,+49 30 7867506,,,,,,,2021-04-09,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5423381 52.435897),Berlin,DE,6,12489,Dörpfeldstraße,Adlershof,dentist,,,dentist,,,,,,Renate Reimer & Verena Rinas,"Mo,Th 12:00-19:00, Tu,We 07:00-13:00; PH off",no,+49 30 677 42 92,,,,,,,,,,,,,,,,,,,,Garmin Oregon 550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3246468 52.5216917),Berlin,DE,31,10587,Helmholtzstraße,Charlottenburg,dentist,,,dentist,,,,,,Zahnecke,PH off; Mo-Th 08:00-19:00; Fr 08:00-14:00,no,,,,https://zahnecke-berlin.de/,,,+49 30 91603860,2025-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3424769 52.4669173),Berlin,,52,12157,Cranachstraße,,dentist,,,dentist,,,Dr. med. dent. Bernd Jaeckel,,,Bernd Jaeckel,"Mo,We,Fr 08:00-14:00; Tu 13:00-19:00, Th 11:00-18:00",no,+49 30 8558047,,http://zahnarzt-jaeckel.de/,,,,,2023-08-13,,info@zahnarzt-jaeckel.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3317955 52.4906325),,,,,,,dentist,,,dentist,,,,,,Sibylle Tewes,"Mo,Tu 09:00-13:00, Mo 15:00-18:00, Tu 15:00-20:00, We,Th 09:00-14:00, Fr 09:00-12:00",,,,,,,,,,2025-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3498142 52.4965965),Berlin,DE,108,10777,Eisenacher Straße,Schöneberg,dentist,,,dentist,,,,,,Dr. Seda Sanli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4284296 52.4847029),,,,,,,dentist,,,dentist,,,,,,Zahnklinik Medeco,Mo-Su 07:00-21:00,,,,,https://www.mvzmedeco.berlin/standort-neukoelln,neukoelln@mvzmedeco.berlin,,+49 30 6273090,,2023-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
