name,street,housenumber,postcode,city,country,suburb,opening_hours,internet_access,wheelchair,phone,email,website,latitude,longitude,district,neighborhood_id,neighborhood,district_id,address
everyworks Coworking,Europaplatz,2,10557,Berlin,,Moabit,Mo-Fr 08:30-18:30,yes,,,everyworks@deutschebahn.com,,52.5255465,13.3695814,Mitte,0102,Moabit,11001001,Europaplatz 2 10557 Berlin
Colonies,Paul-Robeson-Straße,,10439,Berlin,,Prenzlauer Berg,,,,,,,52.5523168,13.4138173,Pankow,0301,Prenzlauer Berg,11003003,Paul-Robeson-Straße 10439 Berlin
Raum,Karl-Kunger-Straße,7,12435,Berlin,DE,Alt-Treptow,,,,,,,52.4920791,13.4456736,Treptow-Köpenick,0901,Alt-Treptow,11009009,Karl-Kunger-Straße 7 12435 Berlin
District One,Hauptstraße,151,10827,Berlin,,Schöneberg,,,,,,,52.4882188,13.3586479,Tempelhof-Schöneberg,0701,Schöneberg,11007007,Hauptstraße 151 10827 Berlin
Studio Neuf,Gneisenaustraße,42,10961,Berlin,DE,Kreuzberg,,,,,,,52.4895444,13.4010469,Friedrichshain-Kreuzberg,0202,Kreuzberg,11002002,Gneisenaustraße 42 10961 Berlin
WeWork,Friedrichstraße,76,10117,Berlin,,Mitte,24/7,wlan,yes,,,,52.5141245,13.3894807,Mitte,0101,Mitte,11001001,Friedrichstraße 76 10117 Berlin
Scaling Spaces Berlin,Schwedenstraße,9,13359,Berlin,,Gesundbrunnen,,,,,,,52.5579706,13.3735077,Mitte,0106,Gesundbrunnen,11001001,Schwedenstraße 9 13359 Berlin
Helix Hub,Invalidenstraße,113,10115,Berlin,,Mitte,,,,,,,52.5306531,13.3839031,Mitte,0101,Mitte,11001001,Invalidenstraße 113 10115 Berlin
SpielundLern.de,Damaschkestraße,34,10711,Berlin,DE,Charlottenburg,Mo-Fr 09:00-17:00,,no,,,,52.5013588,13.2975362,Charlottenburg-Wilmersdorf,0401,Charlottenburg,11004004,Damaschkestraße 34 10711 Berlin
AI Campus Berlin,Max-Urich-Straße,3,13355,Berlin,DE,Gesundbrunnen,24/7,wlan,yes,,,https://www.merantix-aicampus.com/,52.5394385,13.3838217,Mitte,0106,Gesundbrunnen,11001001,Max-Urich-Straße 3 13355 Berlin
P3A coworking,Perleberger Straße,3A,10559,Berlin,,Moabit,,,,,,,52.5354917,13.3561773,Mitte,0102,Moabit,11001001,Perleberger Straße 3A 10559 Berlin
b+ office Coworking Space,Dudenstraße,10,10965,Berlin,DE,Kreuzberg,Mo-Fr 09:00-18:00,wlan,,+49 30 3980994-0,,https://bplusoffice.de/,52.4854344,13.3838886,Friedrichshain-Kreuzberg,0202,Kreuzberg,11002002,Dudenstraße 10 10965 Berlin
Coworking Toddler,Greifenhagener Straße,48,10437,Berlin,DE,Prenzlauer Berg,,,yes,,,,52.5486175,13.4160056,Pankow,0301,Prenzlauer Berg,11003003,Greifenhagener Straße 48 10437 Berlin
& Co,Hauptstraße,153,10827,Berlin,DE,Schöneberg,,,,,,,52.4885808,13.3589461,Tempelhof-Schöneberg,0701,Schöneberg,11007007,Hauptstraße 153 10827 Berlin
Plantage Bürogemeinschaft,Prinz-Eugen-Straße,29A,13347,Berlin,,Wedding,"""nach Anwesenheit""",wlan,no,,,,52.5466015,13.3663377,Mitte,0105,Wedding,11001001,Prinz-Eugen-Straße 29A 13347 Berlin
Spielhalle 2,Grunewaldstraße,81,10823,Berlin,DE,Schöneberg,,,,,,https://www.spielhallezwei.berlin/,52.4898377,13.354489,Tempelhof-Schöneberg,0701,Schöneberg,11007007,Grunewaldstraße 81 10823 Berlin
CI Space,Bugenhagenstraße,9,10551,Berlin,,Moabit,Mo-Sa 10:00-22:00,wlan,,,,,52.5280242,13.3417811,Mitte,0102,Moabit,11001001,Bugenhagenstraße 9 10551 Berlin
Tempelgehöft Co-Working,Tempelhofer Damm,152,12099,Berlin,,Tempelhof,,yes,yes,,,,52.4648209,13.384876,Tempelhof-Schöneberg,0703,Tempelhof,11007007,Tempelhofer Damm 152 12099 Berlin
WeWork,Dircksenstraße,,10178,Berlin,,Mitte,,,,,,,52.5165745,13.4170552,Mitte,0101,Mitte,11001001,Dircksenstraße 10178 Berlin
Mindspace Kurfürstendamm,Uhlandstraße,32,10719,Berlin,,Charlottenburg,Mo-Fr 09:00-18:00,,,,,,52.5004908,13.3247679,Charlottenburg-Wilmersdorf,0401,Charlottenburg,11004004,Uhlandstraße 32 10719 Berlin
Dein Freiraum,Käthe-Niederkirchner-Straße,25,10407,Berlin,,Prenzlauer Berg,,,,,,,52.5300167,13.4333096,Pankow,0301,Prenzlauer Berg,11003003,Käthe-Niederkirchner-Straße 25 10407 Berlin
WeWork,Rosenthaler Straße,43,10178,Berlin,,Mitte,,,yes,,,,52.5240425,13.4029404,Mitte,0101,Mitte,11001001,Rosenthaler Straße 43 10178 Berlin
WeWork,Warschauer Platz,11-13,10245,Berlin,DE,Friedrichshain,"Mo-Su,PH 09:00-18:00",,,,,,52.5044523,13.4495322,Friedrichshain-Kreuzberg,0201,Friedrichshain,11002002,Warschauer Platz 11-13 10245 Berlin
Techspace,Köpenicker Straße,40B,10179,Berlin,,Mitte,,,,,,,52.5091928,13.4255042,Mitte,0101,Mitte,11001001,Köpenicker Straße 40B 10179 Berlin
Velt.studio,Urbanstraße,71,10967,Berlin,,Kreuzberg,,wlan,,,,,52.4878454,13.4232894,Friedrichshain-Kreuzberg,0202,Kreuzberg,11002002,Urbanstraße 71 10967 Berlin
Unicorn Workspaces Gendarmenmarkt,Französische Straße,24,10117,Berlin,,Mitte,,,,,,,52.5146364,13.3904675,Mitte,0101,Mitte,11001001,Französische Straße 24 10117 Berlin
Das Arbeitszimmer,Westerlandstraße,,13189,Berlin,,Pankow,,,,,,,52.5580996,13.4147115,Pankow,0307,Pankow,11003003,Westerlandstraße 13189 Berlin
Gesoworx,Langhansstraße,,13086,Berlin,,Weißensee,,,,,,,52.5511393,13.4429771,Pankow,0302,Weißensee,11003003,Langhansstraße 13086 Berlin
Creon,Methfesselstraße,43,10965,Berlin,,Kreuzberg,,,,,,,52.4859683,13.3837321,Friedrichshain-Kreuzberg,0202,Kreuzberg,11002002,Methfesselstraße 43 10965 Berlin
The Gate (TOR 201),Torstraße,201,10115,Berlin,DE,Mitte,,,,,,,52.5281159,13.3910714,Mitte,0101,Mitte,11001001,Torstraße 201 10115 Berlin
Unicorn Workspaces,Gerichtstraße,,13347,Berlin,,Wedding,,,,,,,52.5446418,13.3665649,Mitte,0105,Wedding,11001001,Gerichtstraße 13347 Berlin
St. Oberholz,Boxhagener Straße,18,10245,Berlin,,Friedrichshain,24/7,,,,,,52.5127959,13.4552451,Friedrichshain-Kreuzberg,0201,Friedrichshain,11002002,Boxhagener Straße 18 10245 Berlin
Engelnest Coworking Space and Event Venue,Wilhelm-Kabus-Straße,22-24,10829,Berlin,,Schöneberg,,yes,,,,,52.4826871,13.3673876,Tempelhof-Schöneberg,0701,Schöneberg,11007007,Wilhelm-Kabus-Straße 22-24 10829 Berlin
w3.hub,Möckernstraße,,10963,Berlin,,Kreuzberg,Mo-Fr 09:00-18:00,,,,,,52.4980122,13.380209,Friedrichshain-Kreuzberg,0202,Kreuzberg,11002002,Möckernstraße 10963 Berlin
werkhain,Frankfurter Allee,108,10247,Berlin,,Friedrichshain,,,,,,,52.512941,13.4748102,Friedrichshain-Kreuzberg,0201,Friedrichshain,11002002,Frankfurter Allee 108 10247 Berlin
CU.Office,Genter Straße,56,13353,Berlin,,Wedding,,,,,,,52.5481408,13.3528978,Mitte,0105,Wedding,11001001,Genter Straße 56 13353 Berlin
werkhain,Frankfurter Allee,108,10247,Berlin,,Friedrichshain,,,,,,,52.5128845884545,13.47479207558809,Friedrichshain-Kreuzberg,0201,Friedrichshain,11002002,Frankfurter Allee 108 10247 Berlin
KAOS Halle,Wilhelminenhofstraße,,12459,Berlin,,Oberschöneweide,,,,,,,52.462438214484244,13.509207565790492,Treptow-Köpenick,0909,Oberschöneweide,11009009,Wilhelminenhofstraße 12459 Berlin
HAUS  1,Oberlandstraße,25-36,12099,Berlin,,Tempelhof,,,,,,,52.46438794759451,13.410746939971459,Tempelhof-Schöneberg,0703,Tempelhof,11007007,Oberlandstraße 25-36 12099 Berlin
Coworking Holzmarkt,,43,10243,Berlin,DE,Friedrichshain,,wlan,,,,,52.512511382822474,13.423889145179139,Friedrichshain-Kreuzberg,0201,Friedrichshain,11002002,43 10243 Berlin
,Scharnweberstraße,,10247,Berlin,,Friedrichshain,,,,,,,52.512696193318384,13.474739798976056,Friedrichshain-Kreuzberg,0201,Friedrichshain,11002002,Scharnweberstraße 10247 Berlin
werkhain,Frankfurter Allee,108,10247,Berlin,,Friedrichshain,,,,,,,52.512781484073635,13.474764348196144,Friedrichshain-Kreuzberg,0201,Friedrichshain,11002002,Frankfurter Allee 108 10247 Berlin
B-Part,Luckenwalder Straße,6b,10963,Berlin,DE,Kreuzberg,Mo-Fr 09:00-18:00,,,,,,52.4990791408707,13.373377561693202,Friedrichshain-Kreuzberg,0202,Kreuzberg,11002002,Luckenwalder Straße 6b 10963 Berlin
