element,id,amenity,brand,brand:wikidata,brand:wikipedia,compressed_air,fuel:hgv_diesel,fuel:diesel,fuel:e10,fuel:octane_102,fuel:octane_95,man_made,name,opening_hours,surveillance,wheelchair,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,check_date,fuel:ethanol,level,operator,payment:cash,payment:mastercard,payment:visa,phone,website,check_date:opening_hours,fuel:adblue,fuel:biodiesel,fuel:octane_98,shop,car_wash,contact:fax,contact:phone,contact:website,payment:american_express,payment:debit_cards,payment:diners_club,payment:dkv,payment:maestro,payment:uta,payment:v_pay,payment:westfalen_card,self_service,fuel:biogas,fuel:cng,fuel:lpg,kiosk,fuel:gtl_diesel,compressed_air:fee,fax,fuel:gts_diesel,fuel:octane_100,payment:cryptocurrencies,payment:girocard,payment:credit_cards,ref,source,toilets,toilets:wheelchair,changing_table,operator:wikidata,wheelchair:description,covered,fuel:1_50,note,currency:others,fuel:kerosene,payment:coins,payment:notes,currency:eur,access,atm,fuel:e85,fuel:1_25,payment:routex,drink:club_mate,automated,postal_code,internet_access,internet_access:fee,smoking,description,source:opening_hours,name:de,name:en,post_office,post_office:brand,post_office:brand:wikidata,addr:inclusion,layer,car_repair,branch,roof:levels,roof:shape,check_date:compressed_air,contact:email,fuel:heating_oil,start_date,building,fuel:hvo100,payment:esso_card,payment:euroshell,payment:shell_clubsmart,official_name,ref:vatin,fuel:adblue:canister,name:signed,fuel:h35,fuel:h70,payment:h2_mobility_card,source:website,start_date:fuel:h70,lottery,valves,truck_wash,vacuum_cleaner,tenant,opening_hours:signed,building:levels,building:min_level,fuel:lh2,bus,minibus,cash_withdrawal,payment:apple_pay,payment:google_pay,surface,atm:operator,owner,landuse,service:vehicle:car_repair,service:vehicle:inspection,fuel:octane_92,height,wikimedia_commons,payment:h2_delivery,payment:hylane,payment:ryd_pay,start_date:fuel:h35,poi_type,amperage,authentication:short_message,bicycle,capacity,socket:type2,source:delivery_date,voltage,addr:floor,fee,operator:wikipedia,note:de,authentication:membership_card,payment:account_cards,authentication:app,authentication:nfc,motorcar,parking:fee,socket:type2:output,socket:type2:current,socket:type2:voltage,survey:date,hgv,maxstay:conditional,network,payment:paypal,scooter,colour,location,authentication:phone_call,socket:schuko,short_name,charge,payment:sepa,payment:vpay,authentication:none,comment,maxstay,socket:chademo,socket:type2_combo,socket:chademo:output,socket:type2_combo:output,truck,camera:direction,camera:mount,camera:type,highway,surveillance:type,surveillance:zone,ref:eu:evse,noname,output,charging_station:output,description:de,socket:usb,mapillary,socket:tesla_supercharger_ccs,socket:type2_cable,lit,support,fixme,payment:mea,object:city,object:country,object:housenumber,object:postcode,object:street,payment:app,payment:cards,payment:membership_card,payment:qr_code,capacity:motorcar,payment:bank_transfer,socket:tesla_supercharger_ccs:output,socket:type2_cable:output,payment:giro_e,payment:ladekarte,direction,lamp_mount,lamp_type,access:conditional,payment:contactless,small_electric_vehicle,motor_vehicle,parking:left,parking:left:fee,parking:left:maxstay,parking:left:orientation,parking:right,image,manufacturer,payment:nfc,authentication:contactless,socket:type2_combo:current,socket:type2_combo:voltage,bicycle_parking,socket:device:usb_a,socket:device:usb_c,charge:conditional,socket:type1:output,email,panoramax,panoramax:0,panoramax:1,payment:samsung_pay,orientation,indoor,operator:type,not:operator:wikidata,payment:rfid_card,payment:online_payment,payment:prepaid_cards,obstacle:parking,position,serialnumber,material,construction,motorcycle,socket:type1,socket:j3105_1,socket:j3105_1:output,capacity:charging,capacity:bicycle,taxi,socket:unknown,socket:unknown:output,markings,restriction,street:name,capacity:disabled,ref:goingelectric,socket:chademo:current,socket:chademo:voltage,latitude,longitude,data_source,operating_hours,fuel_types,amenities,contact_info,district,neighborhood,neighborhood_id,district_id,address
node,64707597,fuel,Aral,Q565734,en:Aral AG,yes,,yes,yes,,yes,,Aral,24/7,,limited,Berlin,,12/14,10179,Holzmarktstraße,,,,,Holger Klugmann,yes,yes,yes,+49 30 2472074 8,https://tankstelle.aral.de/tankstelle/berlin/holzmarktstrasse-1214/27100000/,,,,,,,,,,yes,,yes,yes,yes,yes,yes,,yes,,,yes,,,no,+49 30 2472074 9,yes,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5138544,13.421876,OSM,24/7,"diesel, e10, gts_diesel, lpg, octane_100, octane_95",compressed_air,phone:+49 30 2472074 8 | website:https://tankstelle.aral.de/tankstelle/berlin/holzmarktstrasse-1214/27100000/,Mitte,Mitte,re_ortsteil.0101,01,"Holzmarktstraße, 12/14, 10179, Berlin"
node,68363395,fuel,Aral,Q565734,de:Aral,yes,,yes,yes,,yes,,Aral,24/7,,yes,Berlin,DE,2,10997,Vor dem Schlesischen Tor,Kreuzberg,,,,Maciej Daniluk,yes,,,,https://www.aral.de/tankstelle/berlin/vor_dem_schlesischen_tor/11034600.html,,,,yes,,,,+49 30 6128659 0,,,yes,yes,yes,,yes,,,yes,,,,,,,+49 30 6128659 2,,,,,yes,0110346129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4972334,13.4498737,OSM,24/7,"diesel, e10, octane_95, octane_98",compressed_air,website:https://www.aral.de/tankstelle/berlin/vor_dem_schlesischen_tor/11034600.html,Friedrichshain-Kreuzberg,Kreuzberg,re_ortsteil.0202,02,"Vor dem Schlesischen Tor, 2, 10997, Berlin"
node,83502731,fuel,JET,Q568940,en:Jet (brand),yes,,yes,yes,,yes,,JET,,,,Berlin,DE,246,12679,Märkische Allee,Marzahn,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoportal Berlin / Hauskoordinaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5519896,13.5501124,OSM,,"diesel, e10, octane_95, octane_98",compressed_air,not_provided,Marzahn-Hellersdorf,Marzahn,re_ortsteil.1001,10,"Märkische Allee, 246, 12679, Berlin"
node,101387833,fuel,TotalEnergies,Q154037,fr:TotalEnergies,yes,,,,,,,Total,24/7,outdoor,yes,Berlin,,106,13053,Indira-Gandhi-Straße,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5475627,13.4680868,OSM,24/7,unknown,compressed_air,not_provided,Lichtenberg,Alt-Hohenschönhausen,re_ortsteil.1110,11,"Indira-Gandhi-Straße, 106, 13053, Berlin"
node,106982118,fuel,HEM,Q109930239,,yes,yes,yes,yes,,yes,,Hem,,,,Berlin,DE,61,10315,Alt-Friedrichsfelde,,2024-09-05,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5096766,13.5313646,OSM,,"cng, diesel, e10, hgv_diesel, lpg, octane_95, octane_98",compressed_air,not_provided,Lichtenberg,Friedrichsfelde,re_ortsteil.1101,11,"Alt-Friedrichsfelde, 61, 10315, Berlin"
node,175706216,fuel,sun,,,yes,,,,,,,sun,24/7,,limited,Berlin,,181,13437,Oranienburger Straße,,2025-09-05,,,Germania Petrol GmbH,,,,+49 30 40303921,https://www.sun-tankstellen.de/sites/station_oranienburger.htm,,,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5987115,13.3319568,OSM,24/7,unknown,compressed_air,phone:+49 30 40303921 | website:https://www.sun-tankstellen.de/sites/station_oranienburger.htm,Reinickendorf,Wittenau,re_ortsteil.1209,12,"Oranienburger Straße, 181, 13437, Berlin"
node,187648557,fuel,Esso,Q867662,en:Esso,yes,,yes,yes,,yes,,Esso,24/7,,yes,Berlin,,52,13407,Holländerstraße,,2024-04-08,,,,,,,+49 30 4962033,https://www.essofuelfinder.de/425956-mike-praum-berlin,,,,yes,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5646652,13.3358283,OSM,24/7,"diesel, e10, lpg, octane_95, octane_98",compressed_air,phone:+49 30 4962033 | website:https://www.essofuelfinder.de/425956-mike-praum-berlin,Reinickendorf,Reinickendorf,re_ortsteil.1201,12,"Holländerstraße, 52, 13407, Berlin"
node,205064299,fuel,Eni,Q565594,,yes,,yes,yes,,yes,,AGIP ENI,"Mo-Fr 06:00-21:00; Sa,Su 07:00-21:00",,,Berlin,DE,51,12249,Belßstraße,Lankwitz,,,,,,,,+49307754350,https://www.enistation.de/de-DE/service-stationen.page,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4274591,13.3649346,OSM,"Mo-Fr 06:00-21:00; Sa,Su 07:00-21:00","diesel, e10, octane_95, octane_98",compressed_air,phone:+49307754350 | website:https://www.enistation.de/de-DE/service-stationen.page,Steglitz-Zehlendorf,Lankwitz,re_ortsteil.0603,06,"Belßstraße, 51, 12249, Berlin"
node,247687679,fuel,Shell,Q110716465,,yes,,,yes,,yes,,Shell,,,limited,Berlin,DE,19,13587,Streitstraße,Hakenfelde,,,,Shell,,,,+49 30 3354525,https://www.shell.de/,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5588844,13.2085296,OSM,,"e10, gtl_diesel, octane_100, octane_95",compressed_air,phone:+49 30 3354525 | website:https://www.shell.de/,Spandau,Hakenfelde,re_ortsteil.0507,05,"Streitstraße, 19, 13587, Berlin"
node,255328697,fuel,JET,Q568940,en:Jet (brand),yes,,yes,yes,,yes,,JET,"Mo-Fr 05:00-23:00; Sa,Su 06:00-23:00",,,Berlin,DE,47,13597,Charlottenburger Chaussee,Spandau,,,,Jet,,,,+49 30 30127285,https://www.jet-tankstellen.de/kraftstoff/filialfinder/XJ05388/,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoportal Berlin / Hauskoordinaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5270741,13.2342804,OSM,"Mo-Fr 05:00-23:00; Sa,Su 06:00-23:00","diesel, e10, octane_95, octane_98",compressed_air,phone:+49 30 30127285 | website:https://www.jet-tankstellen.de/kraftstoff/filialfinder/XJ05388/,Spandau,Spandau,re_ortsteil.0501,05,"Charlottenburger Chaussee, 47, 13597, Berlin"
