geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,contact:phone,contact:website,craft,name,tourism,fee,opening_hours,wheelchair,shop,check_date,contact:email,operator,name:de,name:en,name:nl,website,wikidata,source,lgbtq,lgbtq:men,phone,contact:facebook,check_date:currency:XBT,check_date:opening_hours,currency:XBT,facebook,instagram,music,note,payment:lightning,payment:lightning_contactless,payment:onchain,description,gallery,amenity,toilets:wheelchair,wikipedia,opening_hours:signed,fee:icom_member,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:visa,toilets,contact:fax,level,office,designation,operator:type,wheelchair:description,surveillance,email,fax,image,mapillary,name:zh,wikimedia_commons,payment:cards,addr:place,reservation,internet_access,internet_access:fee,alt_name,loc_name,air_conditioning,start_date,opening_hours:covid19,fixme,wheelchair:description:de,wheelchair:description:en,owner,name:etymology,name:etymology:wikidata,language:de,language:en,language:fr,language:nn,contact:instagram,source_ref:url,phone:disabled,operator:wikidata,addr:floor,toilets:unisex,mobile,addr:housename,building,building:levels,heritage,heritage:operator,lda:criteria,ref:lda,roof:levels,roof:shape,building:use,colour,indoor,type,name:ko
POINT (13.4006477 52.5307136),,,,,,,,,,Alex Xandaton,gallery,no,"""by appointment""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4090758 52.5463837),,,,,,,,,,Galerie Marinova,gallery,,,,,,,,,,,,,OpenStreetBugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3227384 52.4971248),Berlin,DE,45,10719,Pariser Straße,Wilmersdorf,,,,Galerie Janssen,gallery,no,Mo-Sa 11:00-19:00,,,2023-11-16,,,,,,http://galerie-janssen.de/index.html,,survey,primary,primary,+49 30 8811590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.1459292 52.4165206),Berlin,DE,15a,14109,Chausseestraße,Wannsee,+49 30 805 2311,https://www.mutter-fourage.de/,,Galerie Mutter Fourage,gallery,,"Fr 14:00-18:00; Sa,Su 12:00-17:00",,,,galerie@mutter-fourage.de,,,,,,,,,,,https://www.facebook.com/Mutter-Fourage-1423187864620162/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4428239 52.498742),Berlin,DE,37,10997,Falckensteinstraße,Kreuzberg,,,,Galerie Heba im Atelier,gallery,no,"Su 14:00-17:00; Mo,Tu 11:00-18:00; Fr,Sa 11:00-18:00",no,art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4671354 52.5109844),Berlin,DE,25,10247,Finowstraße,Friedrichshain,,,,Disconnect Art Gallery and Record Shop,gallery,no,Th-Sa 14:00-19:00; PH off,limited,music,2025-10-11,,,,,,https://disconnectberlin.wordpress.com/,,,,,+49 175 8703908,,2025-10-11,2025-10-11,yes,http://www.facebook.com/disconnectberlin,https://www.instagram.com/storedisconnect/,recorded,Art and music from other worlds,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4349684 52.4832652),Berlin,DE,56,12043,Fuldastraße,Neukölln,,http://www.galerie-walden.de/,,WK+,gallery,,Th-Sa 16:00-20:00,yes,,,info@galerie-walden.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4726497 52.5094253),Berlin,DE,34,10247,Oderstraße,Friedrichshain,,http://rpunkt.org,,Raum für drastische Maßnahmen,gallery,no,"Th,Sa 17:00-20:00",,,,,,,,,,,,,,,,,,,,,,,,,,Raum für drastische Maßnahmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4108887 52.5321702),Berlin,DE,18-19,10119,Christinenstraße,Prenzlauer Berg,+4930 282 70 15,http://www.aedes-arc.de/,,Aedes Gallery,gallery,no,"Tu-Fr 11:00-18:30; Su,Mo,PH 13:00-17:00",no,,2024-10-14,,,,,,,,,,,,,,2024-10-14,,,,,,,,,Architectural Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3817978 52.5220437),Berlin,DE,26,10117,Marienstraße,Mitte,,,,Argus,gallery,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,photo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4237552 52.5045518),,,,,,,,,,Kunstraum Kreuzberg/Bethanien,gallery,no,Mo-Su 10:00-20:00,yes,,,,,,,,https://kunstraumkreuzberg.de/,Q1310526,,,,,,,,,,,,,,,,,,arts_centre,yes,de:Kunstraum Kreuzberg/Bethanien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4450094 52.4805238),Berlin,DE,56,12059,Stuttgarter Straße,Neukölln,,,,WIRWiR,gallery,,,,,,,Dérive UG,,,,https://wirwir.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3910542 52.5271436),Berlin,DE,119,10115,Linienstraße,Mitte,,,,Galerie Neu,gallery,,,,,,,,,,,https://galerieneu.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3912329 52.5269012),Berlin,DE,145,10115,Linienstraße,Mitte,,,,Imago,gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,photo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4941506 52.5006344),,,,,,,,,,Atelier Lücki,gallery,no,,,,,,,,,,,,,,,,,,2024-07-22,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3958993 52.5267289),Berlin,DE,19,10117,Auguststraße,Mitte,,,,Galerie Schwind,gallery,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Galerie für Kunst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3720386 52.52844),Berlin,DE,50-51,10557,Invalidenstraße,,,,,Hamburger Bahnhof - Nationalgalerie der Gegenwart,gallery,yes,"Tu-We,Fr 10:00-18:00; Th 10:00-20:00; Sa-Su 11:00-18:00",yes,,2024-11-16,,Staatliche Museen zu Berlin,,Hamburger Bahnhof - Museum for Contemporary Art,,https://www.smb.museum/museen-einrichtungen/hamburger-bahnhof/home/,Q584756,,,,+49 30 266 424 242,,,,,,,,,,,,,,,yes,de:Hamburger Bahnhof – Museum für Gegenwart,,no,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3120475 52.4894924),Berlin,DE,176,10713,Hohenzollerndamm,Wilmersdorf,+49 30 9029-16704,http://www.kommunalegalerie-berlin.de/,,Kommunale Galerie Berlin,gallery,no,Tu-Fr 10:00-17:00;We 10:00-19:00; Su 11:00-17:00,yes,,2025-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 30 9029-16705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4174861 52.4930141),,,,,,,,,,studio.w,gallery,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3932794 52.4902771),Berlin,DE,5,10961,Riemannstraße,Kreuzberg,,,,Kunsthaus Davidu Berlin,gallery,no,,,,,,,,,,,,,,,,,,2024-09-04,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3135977 52.5020343),,,,,,,,,,G-allery,gallery,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4087336 52.5291203),,,61,,Torstraße,,,,,Reister Webdesign,gallery,no,,no,,2024-10-14,,,,,,http://www.reister.de,,,,,,,,2024-10-14,,,,,,,,,,,,,,no,,,,,,,,,0,advertising_agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3566353 52.4868225),Berlin,DE,18,10827,Hauptstraße,Schöneberg,,,,Chert Lüdde,gallery,,,,,,,,,,,https://chertluedde.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3203744 52.5065979),Berlin,DE,,10623,Bleibtreustraße,Charlottenburg,,,,Einbildmalen,gallery,,,no,,2024-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3188208 52.5039978),Berlin,DE,78,10629,Niebuhrstraße,Charlottenburg,,,,Only Photography,gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4401793 52.4777027),Berlin,DE,104,12043,Richardstraße,,,,,Galerie Olga Benario,gallery,no,"""by appointment""",,,,,,,,,https://www.galerie-olga-benario.de,,,,,,,,,,,,,,,,,Politische Galerie und Veranstaltungsort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3855346 52.5571599),Berlin,DE,29,13359,Prinzenallee,Gesundbrunnen,,,,okk - Organ kritischer Kunst,gallery,,,,,2023-12-24,,,,,,http://www.kritische-kunst.org,,,,,,,,,,,,,Organ kritischer Kunst,,,,,,,,,,,,,,,,,,,,Project Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.6093671 52.5361105),Berlin,DE,10,12627,Heidenauer Straße,Hellersdorf,,,,Die Kiste,gallery,,,,,,,Steinstatt e.V.,,,,https://www.kiste.net/,,,,,+49 30 9987481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3239833 52.5055658),Berlin,DE,147,10623,Kantstraße,Charlottenburg,,,,Robert Grunenberg,gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4517863 52.4733762),,,,,,,,,,bauchhund salonlabor,gallery,yes,Th 20:00+,no,,,,,,,,https://www.bauchhund.de/,,,,,+49 30 56 82 89 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4405365 52.5532159),Berlin,DE,17,13086,Friesickestraße,Weißensee,,,,Kunstgießerei & Galerie Flierl,gallery,,,yes,,,,,,,,,,Geoportal Berlin / Hauskoordinaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4366053 52.4711895),Berlin,DE,8,12051,Schierker Straße,Neukölln,+49 30 56823939,https://www.berlin.de/kunst-und-kultur-neukoelln/kulturorte/galerie-im-koernerpark/,,Galerie im Körnerpark,gallery,no,"Mo-Su,PH 10:00-20:00; Dec 24-25 off; Dec 31-Jan 01 off",yes,,2023-08-05,galerien@bezirksamt-neukoelln.de,"Bezirksamt Neukölln, Fachbereich Kultur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,public,Zugang über Wittmannsdorfer Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4420943 52.5162346),,,,,,,,,,Projektraum,gallery,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4388651 52.5510653),Berlin,DE,90,13086,Streustraße,Weißensee,,,,Sexauer Gallery,gallery,,,yes,,,,Jan-Philipp Sexauer,,,,,,,,,,,,2023-06-17,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3891789 52.5136844),,,,,,,,,,Kunstwerkstatt des russischen Hauses in Berlin,gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4204361 52.5031955),Berlin,DE,79,10997,Adalbertstraße,Kreuzberg,,http://www.galerie-zeitzone.de/,,Galerie Zeitzone,gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3903538 52.506575),,,,,,,,,,,gallery,,,,,,,,,,,,,http://wiki.openstreetmap.org/wiki/Key:cuisine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4608911 52.5159293),Berlin,DE,4,10247,Proskauer Straße,Friedrichshain,,,,ART SQUARE,gallery,no,,,,,,,,,,,,,,,,,,2025-05-08,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4001846 52.4947067),Berlin,DE,22,10961,Tempelherrenstraße,Kreuzberg,+49 30 221609312,http://www.2gas-station.net/,,G.A.S-station,gallery,no,We-Fr 15:00-18:00,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3505106 52.5066964),,,,,,,,,,galerie georg nothelfer,gallery,no,,yes,,,,,,,,https://www.galerie-nothelfer.de/,Q1491915,,,,+493025759806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nothelfer@galerie-nothelfer.de,+49308818610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3613629 52.4948089),,,,,,,,,,Zwitschermaschine,gallery,,,limited,art,,,,,,,https://www.zwitschermaschine-berlin.de,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3244289 52.5048932),Berlin,DE,149,10623,Kantstraße,Charlottenburg,+49 30 31007776,,,Camera Work Photogalerie,gallery,,Tu-Sa 11:00-18:00,,,,info@camerawork.de,,,,,https://camerawork.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tg-berlin.de/fileadmin/_processed_/d/c/csm_Camera_Work_Aussenansicht_5920318c29.jpeg,551812409563742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3647889 52.4925651),Berlin,DE,17,10783,Kulmer Straße,Schöneberg,,,,Noah Klink Gallery,gallery,,,,,,,,,,,http://www.noahklink.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3948218 52.5271636),Berlin,DE,69,10117,Auguststraße,Mitte,+49 30 2434590,https://www.kw-berlin.de/,,KW Institute for Contemporary Art,gallery,yes,Fr-Mo 12:00-19:00; Th 12:00-21:00; We 12:00-19:00,no,,2024-06-11,,,,,,,Q1792296,,,,,,,,,,,,,,,,,,,no,de:KW Institute for Contemporary Art,,,,,,,,,,,,,,,,,,,,柏林當代藝術中心,Category:Kunst-Werke Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3259855 52.5020607),,,,,,,,,,galerie burster,gallery,,,,,,,,,,,https://www.galerieburster.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3218562 52.5038664),Berlin,DE,28,10623,Knesebeckstraße,,,http://www.africaartgallery.de/,,Africa Art Gallery,gallery,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4009105 52.5007422),Berlin,DE,118,10969,Alexandrinenstraße,Kreuzberg,,https://www.koeniggalerie.com/,,König Galerie,gallery,no,Tu-Sa 11:00-18:00,,,,,,,,,,,,,,+49 30 26103080,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.365917 52.5018909),Berlin,DE,77-87,10785,Potsdamer Straße,Tiergarten,,,,Max Hetzler,gallery,,,,,,,,,,,https://www.maxhetzler.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3209826 52.5027037),Berlin,DE,71/72,10629,Mommsenstraße,Charlottenburg,,,,re|space,gallery,,Tu-Sa 10:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3245457 52.5035587),,,,,,,,,,R+R Galerie,gallery,no,"Tu-Fr 10:00-19:00, Sa 10:00-16:00; Mo,Su,PH off",no,frame,2024-03-16,,,,,,https://r-r-galerie.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3962312 52.5292588),Berlin,DE,161,10115,Torstraße,Mitte,,,,Galerie Torstraße - Popup Shop,gallery,no,,no,,,,,,,,https://www.gopopup.com/de/space/berlin/pop-up-space-torstrasse-161,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3206186 52.5084239),,,58,,Grolmanstraße,,,,,Galerie kajetan,gallery,,"Mo-Tu,Su,PH off; We-Sa 12:00-18:00",no,,2023-07-01,,Tobias Posselt,,,,https://www.kajetan.de,,,,,,,,,,,,,,,,,,,,,,,,,no,no,,,,,0,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.305353 52.5148769),Berlin,DE,10,10585,Thrasoltstraße,Charlottenburg,+49 30 3428379,,,Galerie Wigand,gallery,,,,,,,,,,,http://www.galerie-wigand.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.379524 52.560054),,,,,,,,,,Made in Wedding,gallery,,,,,2025-02-12,,,,,,http://made-in-wedding.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3795606 52.5601093),,,,,,,,,,toolbox Gallery,gallery,no,,,,2025-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4092451 52.5330823),,,,,,,,,,Atelier Sam Grigorian,gallery,no,,no,,2024-07-15,,Sam Grigorian,,,,http://www.samgrigorian.de,,,,,+49 174 3282433,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,samgrigorian@gmx.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4091883 52.5152477),,,,,,,,,,Rath Factory,gallery,,,,,,,,,,,,,,,,,https://www.facebook.com/rathfactory/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3944625 52.5264157),,,,,,,,,,The Kennedys,gallery,,,no,,,,,,,,https://www.thekennedys.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4484701 52.5084047),,,1,10243,,,,,,Fotogalerie Friedrichshain,gallery,no,Tu-Sa 14:00-18:00; Th 10:00-20:00,yes,,2024-07-02,,,,,,https://fotogalerie.berlin/,,,,,+49 30 2961684,https://www.facebook.com/fotogaleriefriedrichshain/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fotogalerie@kulturring.org,,,,,,,Helsingforser Platz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.38404 52.523509),,,,,,,,,,Sammlung Boros,gallery,yes,Fr-Su 10:30-19:30,limited,,2023-07-03,,,,,,https://www.sammlung-boros.de/,Q15126890,,,,+49 30 240833300,,,,,,,,,,,,,,,no,de:Sammlung Boros,,,,,,,,,,,,,,,,,,,,,,,,required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
