Unnamed: 0,library_id,name,amenity,operator_type,operator,street,housenumber,postcode,city,country,latitude,longitude,geom_point,opening_hours,wheelchair_accessible,toilets_wheelchair,level,internet_access,isil_code,final_email,final_phone,website_url,district,neighbourhood,district_id
10,271875991,"Campusbibliothek Natur-, Kultur- und Bildungswissenschaften, Mathematik, Informatik und Psychologie",library,university,Freie Universität Berlin,Fabeckstraße,23/25,14195,Berlin,DE,52.4535775,13.2902597,POINT (13.2902597 52.4535775),Mo-Fr 09:00-22:00; Sa-Su 10:00-20:00; PH off,limited,yes,,yes,DE-188-930,auskunft@campusbib.fu-berlin.de,,https://www.fu-berlin.de/sites/campusbib/,Steglitz-Zehlendorf,Dahlem,11006006
11,281375131,Wolfdietrich-Schnurre-Bibliothek,library,,,Bizetstraße,41,13088,Berlin,DE,52.5477387,13.4528367,POINT (13.4528367 52.5477387),Mo 10:00-19:00; Tu 10:00-17:00; We 13:00-19:00; Th 10:00-19:00; Fr 10:00-17:00,limited,,,wlan,,wolfdietrich-schnurre-bibliothek@ba-pankow.berlin.de,+49 30 90295 3861,http://www.berlin.de/ba-pankow/stadtbibliothek/wolfdiehttps://www.berlin.de/stadtbibliothek-pankow/bibliotheken/wolfdietrich-schnurre-bibliothek/trich-schnurre/,Pankow,Weißensee,11003003
12,293137702,Stadtteilbibliothek Karow,library,,,Zum Kappgraben,,13125,Berlin,Germany,52.616548,13.4917041,POINT (13.4917041 52.616548),,yes,,,,,,,,Pankow,Karow,11003003
13,308811018,Bettina von Arnim Bibliothek,library,public,,Schönhauser Allee,75,10439,Berlin,DE,52.5492616,13.414088,POINT (13.414088 52.5492616),"Mo-We,Fr 13:00-19:00; Th 10:00-17:00",yes,yes,3,wlan,,mailto:bettina-von-arnim.bibliothek@ba-pankow.berlin.de,+4930902956933,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/bettina-von-arnim-bibliothek/,Pankow,Prenzlauer Berg,11003003
14,323991172,Egon-Erwin-Kisch-Bibliothek,library,,,Frankfurter Allee,149,10365,Berlin,Germany,52.5134373,13.4813674,POINT (13.4813674 52.5134373),"We 13:00-18:00; Sa 09:00-18:00; Su-Tu, Th-Fr 10:00-18:00",limited,,2,wlan,,,+49305556719,https://www.berlin.de/stadtbibliothek-lichtenberg/standorte/egon-erwin-kisch-bibliothek/,Lichtenberg,Lichtenberg,11011011
15,333343782,Helene-Nathan-Bibliothek,library,,,Karl-Marx-Straße,66,12043,Berlin,DE,52.4819616,13.4327729,POINT (13.4327729 52.4819616),Mo-Fr 09:00-18:00; Sa 10:00-13:00,yes,,4,wlan,DE-B700,info@stadtbibliothek-neukoelln.de,+49 30 902394313,https://berlin.de/stadtbibliothek-neukoelln,Neukölln,Neukölln,11008008
16,345162417,Ingeborg-Drewitz-Bibliothek,library,,,Grunewaldstraße,3,12165,Berlin,DE,52.4577849,13.3196255,POINT (13.3196255 52.4577849),Mo-Fr 11:00-19:00; Sa 11:00-16:00; PH off,yes,yes,3,,DE-B702,,,https://www.berlin.de/stadtbibliothek-steglitz-zehlendorf/,Steglitz-Zehlendorf,Steglitz,11006006
17,439229151,Johannes-Bobrowski-Bibliothek,library,,,Peter-Hille-Straße,1,12587,Berlin,DE,52.4548013,13.6214013,POINT (13.6214013 52.4548013),"Mo,Tu 12:00-17:00; We,Th 14:00-19:00; PH,Fr-Su off",yes,,,wlan,,,,http://www.sb-tk.de,Treptow-Köpenick,Friedrichshagen,11009009
18,444731308,Stadtteilbibliothek Lichenrade,library,,,Steinstraße,41,12307,Berlin,DE,52.3879238,13.3973796,POINT (13.3973796 52.3879238),"Mo, We-Fr 11:00-18:00; Tu 12:00-16:00",yes,designated,"0,1",,,stabi-lichtenrade@ba-ts.berlin.de,+49 30 902778286,https://www.berlin.de/stadtbibliothek-tempelhof-schoeneberg/bibliotheken/stadtteilbibliothek-lichtenrade/,Tempelhof-Schöneberg,Lichtenrade,11007007
19,444994924,Heinrich-Schulz-Bibliothek,library,,,Otto-Suhr-Allee,96,10585,Berlin,DE,52.5171056,13.308865,POINT (13.308865 52.5171056),Mo-Fr 12:00-19:00; Sa 11:00-16:00; Su 12:00-18:00,yes,no,,wlan,,,+49309029-12217,http://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/bibliotheken/artikel.203398.php,Charlottenburg-Wilmersdorf,Charlottenburg,11004004
20,482710823,Zweigbibliothek Naturwissenschaften,library,university,Universitätsbibliothek der Humboldt-Universität zu Berlin,Rudower Chaussee,26,12489,Berlin,DE,52.4310682,13.5314264,POINT (13.5314264 52.4310682),Mo-Fr 09:00-20:00,yes,,,wlan,DE-11-87,nawi@ub.hu-berlin.de,+49 30 2093-99725,https://www.ub.hu-berlin.de/de/standorte/erwin-schroedinger-zentrum-zwbib-nawi,Treptow-Köpenick,Adlershof,11009009
21,486517226,Bibliothek Campus Wilhelminenhof,library,,,Johannes-Kraaz-Straße,,12459,Berlin,Germany,52.4554005,13.5247238,POINT (13.5247238 52.4554005),Mo-Fr 10:00-21:00; Sa 12:00-18:00,yes,,1,,,,,https://bibliothek.htw-berlin.de/ueber-uns/bibliothek-campus-wilhelminenhof/,Treptow-Köpenick,Oberschöneweide,11009009
22,507660382,KEH Bibliothek,library,,,Herzbergstraße,79,10365,Berlin,Germany,52.5280812,13.5120545,POINT (13.5120545 52.5280812),,limited,,,,,,,,Lichtenberg,Lichtenberg,11011011
23,529557633,Eberhard-Alexander-Burgh-Bibliothek,library,,,Rüdesheimer Straße,,14197,Berlin,Germany,52.4713483,13.313449,POINT (13.313449 52.4713483),"Mo,Th 12:00-16:00; Tu,Fr 14:00-18:00; SH Mo, Th 12:00-16:00; PH off",yes,yes,,wlan,,,,,Charlottenburg-Wilmersdorf,Wilmersdorf,11004004
24,560823423,Friedrich-von-Raumer-Bibliothek,library,,,Dudenstraße,18-20,10965,Berlin,DE,52.4851862,13.3827588,POINT (13.3827588 52.4851862),"Mo,Tu 13:00-19:00; We 11:00-17:00; Th 13:00-19:00; Fr 11:00-17:00",no,,,wlan,,,+49 30 50587613,https://www.berlin.de/stadtbibliothek-friedrichshain-kreuzberg/bibliotheken/stadtteilbibliothek-friedrich-von-raumer/,Friedrichshain-Kreuzberg,Kreuzberg,11002002
25,586328524,Bibliothek des John-F.-Kennedy-Instituts,library,university,Universitätsbibliothek der Freien Universität Berlin,Lansstraße,7-9,14195,Berlin,DE,52.4571611,13.2920178,POINT (13.2920178 52.4571611),Mo-Fr 09:00-20:00,no,no,,wlan,DE-188-144,library@jfki.fu-berlin.de,+49 30 838-52862,http://www.jfki.fu-berlin.de/library,Steglitz-Zehlendorf,Dahlem,11006006
26,618048288,Stadtteilbibliothek Buch,library,,,Schlosspark-Passage,,13125,Berlin,Germany,52.6356441,13.4938846,POINT (13.4938846 52.6356441),"Mo,Th,Fr 13:00-19:00; Tu 10:00-16:00; We 13:00-17:00; Sa 10:00-15:00",yes,,1,wlan,,,,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/stadtteilbibliothek-buch/,Pankow,Buch,11003003
27,639552895,HU Berlin – Zweigbibliothek Rechtswissenschaft,library,university,Universitätsbibliothek der Humboldt-Universität zu Berlin,Bebelplatz,1,10117,Berlin,DE,52.5164298,13.3932385,POINT (13.3932385 52.5164298),Mo-Fr 09:00-21:30; Sa 09:00-18:00; Su 13:00-18:00,limited,yes,,wlan,DE-11-68,,+49 30 209 33374,http://info.ub.hu-berlin.de/bibliothek/zweigbibliotheken/jurist/jurist.html,Mitte,Mitte,11001001
28,665121783,Comicbibliothek Renate,library,,,Tucholskystraße,32,10117,Berlin,DE,52.5261368,13.3937348,POINT (13.3937348 52.5261368),,no,,,,,,+49 30 97005815;+49 30 97005816,http://www.renatecomics.de/,Mitte,Mitte,11001001
29,737212457,Heinrich-Böll-Bibliothek,library,,,Greifswalder Straße,87,10409,Berlin,DE,52.5418167,13.4408459,POINT (13.4408459 52.5418167),"Mo-Tu, Th-Fr 09:00-19:00; We 13:00-19:00; Sa-Su 10:00-19:00",yes,,,wlan,DE-B457,,,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/heinrich-boell-bibliothek/,Pankow,Prenzlauer Berg,11003003
30,795561505,Adolf-Reichwein-Bibliothek,library,,,Berkaer Straße,7,14199,Berlin,DE,52.4775843,13.2878878,POINT (13.2878878 52.4775843),"Mo-Fr 14:00-18:00; Sa,Su,PH off",yes,,,wlan,,,,http://www.berlin.de/ba-charlottenburg-wilmersdorf/org/bibliotheken/adolfreichweinbibliothek.html,Charlottenburg-Wilmersdorf,Schmargendorf,11004004
31,1070809009,Zweigbibliothek Klassische Archäologie,library,university,Universitätsbibliothek der Humboldt-Universität zu Berlin,Unter den Linden,6,10117,Berlin,DE,52.5190211,13.3928706,POINT (13.3928706 52.5190211),Mo-Th 10:00-16:00; PH off,limited,,1,wlan,DE-11-88,archaeologie@ub.hu-berlin.de,+49 30 2093 2234,https://www.ub.hu-berlin.de/de/standorte/zwbarchaeologie,Mitte,Mitte,11001001
32,1070809020,Zweigbibliothek Fremdsprachliche Philologien / Teilbibliothek Großbritannien-Zentrum,library,university,Universitätsbibliothek der Humboldt-Universität zu Berlin,Dorotheenstraße,65,10117,Berlin,DE,52.5183016,13.386705,POINT (13.386705 52.5183016),Mo-Fr 09:00-20:00; PH off,yes,,1;2,wlan,DE-11-149,fremdphilo@ub.hu-berlin.de,+49 30 2093-12377,,Mitte,Mitte,11001001
33,1346361343,Bodo-Uhse-Bibliothek,library,,,Erich-Kurz-Straße,9,10319,Berlin,DE,52.4978553,13.5209225,POINT (13.5209225 52.4978553),Mo-Tu 09:00-19:00; We 13:00-19:00; Th-Sa 09:00-18:00,limited,,1,wlan,,,+49 30 5122102,https://www.berlin.de/stadtbibliothek-lichtenberg/standorte/bodo-uhse-bibliothek/,Lichtenberg,Friedrichsfelde,11011011
34,1356847676,Janusz-Korczak-Bibliothek,library,,,Berliner Straße,120,13187,Berlin,DE,52.568454,13.4123577,POINT (13.4123577 52.568454),"Mo,Tu,Th,Fr 09:00-19:00; We 13:00-19:00; Sa,Su 10:00-19:00",limited,,,wlan,DE-B462,,,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/janusz-korczak-bibliothek/,Pankow,Pankow,11003003
35,1362209543,Ingeborg-Bachmann-Bibliothek,library,,,Nehringstraße,10,14059,Berlin,DE,52.5145468,13.2939985,POINT (13.2939985 52.5145468),"Mo,We,Th,Fr 14:00-18:00; PH off",yes,,,wlan,,,+4930902924313,http://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/bibliotheken/artikel.194044.php,Charlottenburg-Wilmersdorf,Charlottenburg,11004004
36,1425169658,Bibliothek des Friedrich-Meinecke-Instituts und des Kunsthistorisches Instituts,library,,,Koserstraße,20,14195,Berlin,DE,52.4613917,13.2947799,POINT (13.2947799 52.4613917),,limited,no,,,,,+493083854550,http://www.ub.fu-berlin.de/fbb/gesch-kultur/kug809.html,Steglitz-Zehlendorf,Dahlem,11006006
37,1445349886,Trude-Jugend-Bib,library,,,Bat-Yam-Platz,1,12353,Berlin,DE,52.4255455,13.4622976,POINT (13.4622976 52.4255455),,yes,,,,,,,https://www.berlin.de/stadtbibliothek-neukoelln/bibliotheken/gertrud-junge-bibliothek/,Neukölln,Gropiusstadt,11008008
38,1472976631,Else-Ury-Bibliothek,library,,,Glogauer Straße,13,10999,Berlin,DE,52.4925504,13.4362136,POINT (13.4362136 52.4925504),"Mo 13:00-18:00;
Tu 10:00-15:00;
Th 13:00-18:00;
Fr 12:00-17:00",no,,,wlan,,,+49 30 22502613,https://www.berlin.de/stadtbibliothek-friedrichshain-kreuzberg/bibliotheken/familienbibliothek-else-ury/,Friedrichshain-Kreuzberg,Kreuzberg,11002002
39,1481377095,Die Bibliothek Wirtschaft und Management,library,,,Straße des 17. Juni,135,10623,Berlin,DE,52.5121417,13.3262714,POINT (13.3262714 52.5121417),"Apr-Jul,Oct-Feb: Mo-Fr 09:00-21:00; Apr-Jul,Oct-Feb: Sa 10:00-16:00; Mar,Aug-Sep: Mo-Fr 10:00-21:00; Mar,Aug-Sep: Sa 10:00-16:00",yes,,5,wlan,,,+49 30 31422601,https://www.dbwm.tu-berlin.de/menue/startseite/,Charlottenburg-Wilmersdorf,Charlottenburg,11004004
40,1670728349,Fachbibliothek Kurdologie,library,,Europäisches Zentrum für Kurdische Studien - Berliner Gesellschaft zur Förderung der Kurdologie e. V.,Emser Straße,26,12051,Berlin,DE,52.4690497,13.4339544,POINT (13.4339544 52.4690497),"Mo-Fr 11:00-16:00, ""Nach Vereinbarung""",,,,,,,,,Neukölln,Neukölln,11008008
41,1684737379,Bibliothek der Freien,library,,,Greifswalder Straße,4,10405,Berlin,DE,52.5286995,13.4254805,POINT (13.4254805 52.5286995),"Th, Fr 18:00-20:00; PH off",limited,yes,1,no,DE-B1576,DieFreien@BibliothekderFreien.de,+49 30 7521768,https://www.bibliothekderfreien.de/,Pankow,Prenzlauer Berg,11003003
42,1685672555,Archiv für Alternativkultur,library,,,Anton-Wilhelm-Amo-Straße,41,10117,Berlin,DE,52.5127362,13.3957618,POINT (13.3957618 52.5127362),,,,,,,,,http://www.fis-kultur.net/alternativkultur/,Mitte,Mitte,11001001
43,1818848292,Johanna-Moosdorf-Bibliothek,library,,,Westendallee,45,14052,Berlin,DE,52.5106578,13.2586101,POINT (13.2586101 52.5106578),"Tu,Fr 14:00-18:00; We 12:00-18:00; Th 10:00-16:00",no,,,wlan,,,,,Charlottenburg-Wilmersdorf,Westend,11004004
44,1863570970,Kurt-Tucholsky-Bibliothek,library,public,"Bezirksamt Pankow von Berlin, Amt für Weiterbildung und Kultur",Esmarchstraße,18,10407,Berlin,DE,52.5328818,13.4321724,POINT (13.4321724 52.5328818),"Mo, We-Fr 13:00-18:00; Tu 10:00-15:00; Sa 11:00-13:00",no,,,,,kurt-tucholsky-bibliothek@ba-pankow.berlin.de,+49 30 902 95 3 963,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/kurt-tucholsky-bibliothek/,Pankow,Prenzlauer Berg,11003003
45,1874529829,Artothek,library,,,Hohenzollerndamm,176,10713,Berlin,DE,52.489441,13.3118736,POINT (13.3118736 52.489441),"Mo off ; Tu,Th,Fr 11:00-17:00 ; We 11:00-19:00",yes,,,,,info@artothek.charlottenburg-wilmersdorf.de,+49 30 9029-16709,,Charlottenburg-Wilmersdorf,Wilmersdorf,11004004
46,1933757018,"Bibliothek für Sozialwissenschaften und Osteuropastudien, Stiller Lesesaal",library,university,Freie Universität Berlin,Ihnestraße,21,14195,Berlin,DE,52.449221,13.2769658,POINT (13.2769658 52.449221),,yes,,,,,,,,Steglitz-Zehlendorf,Dahlem,11006006
47,2094774970,Kunstbibliothek,library,,,Matthäikirchplatz,6,10785,Berlin,DE,52.5085131,13.3669367,POINT (13.3669367 52.5085131),"Mo-Tu off; We-Fr 10:00-17:00; Sa-Su,PH 10:00-18:00; Jan 1 12:00-18:00; Dec 24,Dec 31 off",yes,no,,wlan,DE-B11,,,https://www.smb.museum/museen-einrichtungen/kunstbibliothek/home,Mitte,Tiergarten,11001001
48,2270319509,Das Buddhistische Haus,library,,,Oppenheimer Weg,,13465,Berlin,Germany,52.635613,13.3029182,POINT (13.3029182 52.635613),Mo-Su 09:00-18:00,no,,,,,,,,Reinickendorf,Frohnau,11012012
49,2402339489,La Rayuela,library,,,Südstern,2,10961,Berlin,DE,52.4900049,13.4056371,POINT (13.4056371 52.4900049),Mo-Fr 10:00-19:00; Sa 10:00-16:00,no,,,,,info@la-rayuela.de,+49 (0)30 44013293,https://la-rayuela.typepad.com/,Friedrichshain-Kreuzberg,Kreuzberg,11002002
50,2479053622,"Institut Français Berlin, Mediathek",library,,,Kurfürstendamm,211,10719,Berlin,DE,52.5021314,13.3248746,POINT (13.3248746 52.5021314),"Tu,Th 14:00-18:30; We,Fr 12:00-18:30; Sa 11:00-17:00; Mo off",limited,no,,,DE-B452,,,https://berlin.institutfrancais.de/mediathek,Charlottenburg-Wilmersdorf,Charlottenburg,11004004
51,2571245538,Stadtteilbibliothek Altglienicke im Bürgerhaus,library,,,Ortolfstraße,182,12524,Berlin,DE,52.4033811,13.5286278,POINT (13.5286278 52.4033811),,,,,,,,+49 30 902976722,,Treptow-Köpenick,Altglienicke,11009009
52,2644700001,Archiv der Jugendkulturen,library,,,Fidicinstraße,3,10965,Berlin,DE,52.4864803,13.389689,POINT (13.389689 52.4864803),,,,,,DE-2323,,,https://jugendkulturen.de,Friedrichshain-Kreuzberg,Kreuzberg,11002002
53,2777497901,Patientenbibliothek,library,,Charité Mitte,Bonhoefferweg,4,10117,Berlin,Germany,52.5266936,13.3766679,POINT (13.3766679 52.5266936),"Mo,Tu,Th 12:00-16:00; Fr 12:00-15:00",,,,,,,,,Mitte,Mitte,11001001
54,2802477601,Stadtteilbibliothek,library,,,Westerwaldstraße,,13589,Berlin,Germany,52.5499724,13.1780019,POINT (13.1780019 52.5499724),"Tu,We,Fr 12:00-17:00; Mo,Th 13:00-19:00",yes,,,,,,,,Spandau,Falkenhagener Feld,11005005
55,2964523835,Kulturpost und Bibliothek,library,,Leben in Wilhelmsruh,Hauptstraße,32,13158,Berlin,DE,52.5871192,13.3678296,POINT (13.3678296 52.5871192),"Mo,Di,Do 14:00-19:00; Mi,Fr,Sa 10:00-13:00",,,,,,info@leben-in-wilhelmsruh.de,+49 30 40724848,https://www.leben-in-wilhelmsruh.de/,Pankow,Wilhelmsruh,11003003
56,3203713887,kalabal!k,library,,kalabal!k,Reichenberger Straße,63a,10999,Berlin,DE,52.4952361,13.4307312,POINT (13.4307312 52.4952361),We 17:00-20:00; Su 15:00-18:00,no,,,,,kalabalik@riseup.net,,https://kalabalik.blackblogs.org/,Friedrichshain-Kreuzberg,Kreuzberg,11002002
57,3428467245,Universitätsarchiv,library,university,Universitätsbibliothek der Freien Universität Berlin,Malteserstraße,74-100,12249,Berlin,DE,52.4260423,13.3587376,POINT (13.3587376 52.4260423),"We,Th 09:00-16:00",yes,,,,,,,,Steglitz-Zehlendorf,Lankwitz,11006006
58,3478842465,Schulbiblothek,library,,Sophie-Scholl-Oberschule,Pallasstraße,,10781,Berlin,Germany,52.4943297,13.3578235,POINT (13.3578235 52.4943297),,,,,,,,,,Tempelhof-Schöneberg,Schöneberg,11007007
59,3518345658,Joseph Wulf Bibliothek,library,,,Am Großen Wannsee,58,14109,Berlin,DE,52.4327843,13.1656465,POINT (13.1656465 52.4327843),"Mo-Fr 11:00-16:00; PH,Sa,Su off",,,,,DE-B1525,library@ghwk.de,+49 30 805 00120,https://www.ghwk.de/de/bibliothek,Steglitz-Zehlendorf,Wannsee,11006006
60,3806550974,Bibliothek des Deutschen Bundestages,library,government,Deutscher Bundestag,Adele-Schreiber-Krieger-Straße,1,10117,Berlin,DE,52.5202388,13.3772992,POINT (13.3772992 52.5202388),"""nicht öffentlich zugänglich; nur auf Antrag""",,,,,DE-281,,+49 30 22733073,https://www.bundestag.de/dokumente/bibliothek,Mitte,Mitte,11001001
61,3837620248,Bibliothek Tiergarten-Süd,library,,,Lützowstraße,27,10785,Berlin,DE,52.5037597,13.3634291,POINT (13.3634291 52.5037597),Mo-Fr 12:30-18:00,yes,,,,,,,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bibliothek-tiergarten-sued/,Mitte,Tiergarten,11001001
62,3952396497,Umweltbibliothek,library,,Umweltbundesamt,Bismarckplatz,1,14193,Berlin,DE,52.4921781,13.2826514,POINT (13.2826514 52.4921781),,,,,,,,,,Charlottenburg-Wilmersdorf,Grunewald,11004004
63,3981795844,Anna-Seghers-Bibliothek,library,,,Prerower Platz,2,13051,Berlin,DE,52.5649762,13.5061185,POINT (13.5061185 52.5649762),"Mo,Tu 09:00-19:00; We 13:00-19:00; Th,Fr 09:00-18:00; Sa 09:00-13:00",yes,,"1,2,3",,,,+49 30 92796410,https://www.berlin.de/stadtbibliothek-lichtenberg/standorte/anna-seghers-bibliothek/,Lichtenberg,Neu-Hohenschönhausen,11011011
64,4114649179,Bibliothek der Stiftung Topographie des Terrors,library,,,Niederkirchnerstraße,8,10963,Berlin,DE,52.5067416,13.383896,POINT (13.383896 52.5067416),Mo-Fr 10:00-17:00,yes,,,wlan,,bibliothek@topographie.de,+4930 254509-23,https://www.topographie.de/bibliothek/,Friedrichshain-Kreuzberg,Kreuzberg,11002002
65,4221527005,Zweigbibliothek Asien-/Afrikawissenschaften und Islamische Theologie,library,university,Universitätsbibliothek der Humboldt-Universität zu Berlin,Invalidenstraße,118,10115,Berlin,DE,52.5305537,13.3859469,POINT (13.3859469 52.5305537),Mo-Fr 09:00-17:00,yes,,0,yes,DE-11-103,asa@ub.hu-berlin.de,+49 30 209366093,https://www.ub.hu-berlin.de/de/standorte/zwbasienafrika,Mitte,Mitte,11001001
66,4271022996,Stadtteilbibliothek Kladow,library,,Stadtbibliothek Spandau,Sakrower Landstraße,2,14089,Berlin,DE,52.453258,13.1429895,POINT (13.1429895 52.453258),"Mo,Th 13:00-19:00; Tu,We 13:00-17:00; Fr 09:00-15:00",yes,yes,0,terminal,,,+49 30 8161-5889,http://www.berlin.de/stadtbibliothek-spandau/bibliotheken/kladow/artikel.182136.php,Spandau,Kladow,11005005
67,4432723694,Bibliothek Am Wasserturm,library,,,Prenzlauer Allee,227-228,10405,Berlin,DE,52.5331584,13.419505,POINT (13.419505 52.5331584),Mo-Sa 08:00-22:00,,yes,,wlan,,,+49 30 902953921,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/bibliothek-am-wasserturm/,Pankow,Prenzlauer Berg,11003003
68,4706616647,Bibliothek,library,public,Stiftung Topographie des Terrors,Britzer Straße,5,12439,Berlin,DE,52.4525785,13.5189284,POINT (13.5189284 52.4525785),,yes,,,yes,DE-2401,bibliothek-sw@topographie.de,+49 30 63 90 288 23,https://www.ns-zwangsarbeit.de/bibliothek/,Treptow-Köpenick,Niederschöneweide,11009009
69,4805428213,Medienforum Berlin,library,,,Levetzowstraße,1-2,10555,Berlin,DE,52.5222118,13.3308065,POINT (13.3308065 52.5222118),"Mo,Tu 13:00-18:00; We 10:00-15:00; Th 13:00-18:00",,,,,DE-B1585,mf.info@senbjw.berlin.de,+49 30 90 22 99-111,https://www.berlin.de/sen/bildung/unterricht/medien/medienforum/,Mitte,Moabit,11001001
70,4806499594,Hansabibliothek,library,,,Altonaer Straße,15,10557,Berlin,DE,52.5170943,13.3427522,POINT (13.3427522 52.5170943),"Mo, Fr 13:00-19:30; Tu-Th 12:00-18:00; Sa 10:00-14:00",yes,yes,,,,service@stb-mitte.de,+4930901832156,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/hansabibliothek/,Mitte,Hansaviertel,11001001
71,5062614778,Unnamed Library - ID 5062614778 in District Mitte,library,,,Alt-Moabit,140,10557,Berlin,Germany,52.521758,13.3638336,POINT (13.3638336 52.521758),,,,1,,,,,,Mitte,Moabit,11001001
