Name,Adresse,Telefon,E-Mail,Website
Sierra Leone,Herwarthstrasse 4 D-12207 Berlin,+49 (0)30 772 058 50,embassy@slembassy-germany.org,www.slembassy-germany.org
Somalia,Rheinstraße 10 D-12159 Berlin,+49 (0)30 23630010,berlinembassy@mfa.gov.so,
South Africa,Tiergartenstrasse 18 D-10785 Berlin,+49 (0)30 22073-0,berlin.admin@dirco.gov.za,www.suedafrika.org
South Sudan,Leipziger Platz 8 D-10117 Berlin,+49 (0)30 206 445 9-0,info@embassy-southsudan.de,www.embassy-southsudan.de
Tanzania,Eschenallee 11 D-14050 Berlin,+49 (0)30-3030800,berlin@tzembassy.go.tz,www.de.tzembassy.go.tz
Togo,Grabbeallee 43 D-13156 Berlin,+49 (0)30 499 089 68,allemagne@diplomatie.gouv.tg,ambatogoberlin.de
Tunisia,Lindenallee 16 D-14050 Berlin,+49 (0)30 364 10 70,at.berlin@tunesien.tn,tunesien.tn
Uganda,Axel-Springer-Straße 54A D-10117 Berlin,+49 (0)30 2060990,office@ugandaembassyberlin.de,berlin.mofa.go.ug
Zambia,Axel Springer-Str. 54a D-10117 Berlin,+49 (0)30 2062940,info@zambiaembassy.de,www.zambiaembassy.de
Zimbabwe,Dannenwalder Weg 91 D-13439 Berlin,+49 (0)30 98318740,berlin22consularservices@gmail.com,www.zimembassyberlin.com
Argentina,Von-der-Heydt-Str. 2 D-10787 Berlin,+49 (0)30 2266890,ealem@cancilleria.gob.ar,ealem.cancilleria.gob.ar
Bolivia,Wichmannstrasse 6 D-10787 Berlin,+49 (0)30 263 91 50,info@bolivia.de,www.bolivia.de
Brasil,Wallstrasse 57 D-10179 Berlin,+49 (0)30 72 62 80,,berlim.itamaraty.gov.br
Canada,Leipziger Platz 17 D-10117 Berlin,+49 (0)30 20 312 0,,international.gc.ca
Chile,Mohrenstrasse 42 D-10117 Berlin,+49 (0)30 726 20 35,echile.alemania@minrel.gob.cl,Chile.gob.cl
Colombia,Taubenstraße 23 D-10117 Berlin,+49 (0)30 26 39 61 0,alemania@cancilleria.gov.co,alemania.embajada.gov.co
Costa Rica,Reinhardt Str. 47A D-10117 Berlin,+49 (0)30 26 39 89 90,embcr-de@rree.go.c,botenschaft-costarica.de
Cuba,Stavangerstrasse 20 D-10439 Berlin,+49 (0)30 400 458 221,recepcion@botschaft-kuba.de,misiones.cubaminrex.cu
Dominican Republic,Knesebeckstraße 61A D-10719 Berlin,+49 (0)30 417 256 690,embalemania@mirex.gob.do,www.embajadadominicana.de
Ecuador,Joachimsthaler Str. 12 D-10719 Berlin,+49 (0)30 800 96 95, eecualemania@cancilleria.gob.ec,cancilleria.gob.ec
